Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
32,1,37,21,0.00013047943441778958,127,0.49710556864738464
30,1,54,31,0.0063466292145467765,40,0.3284948468208313
18,2,40,17,0.0023465356200767376,97,0.03431704640388489
23,3,45,17,0.00294813493900696,74,0.029277674853801727
32,2,43,28,0.009187507840256012,113,0.04956177994608879
25,2,53,22,0.009626140216805799,127,0.04990470036864281
27,2,43,29,0.009857635850412966,82,0.06411482393741608
29,1,54,23,0.0020930508209364177,69,0.18498168885707855
27,2,52,20,0.006199548003897704,54,0.05145156383514404
31,2,36,24,0.005519576176175997,107,0.03719445317983627
30,2,43,27,0.002766933206695337,60,0.03233952820301056
32,2,37,24,0.0037748546352483663,45,0.03739527612924576
20,1,56,25,0.0075910427469287846,128,0.20852376520633698
26,3,34,21,0.003678440683945358,34,0.044793371111154556
20,3,49,22,0.008311574418740874,54,0.0675855204463005
31,3,48,25,0.006860788949096915,125,0.03642875701189041
25,1,46,30,0.0006820356003380067,118,0.3117823302745819
16,2,55,16,0.001279022381227949,80,0.04172397404909134
23,3,62,29,0.0022856073940887255,110,0.02444431185722351
24,1,39,19,0.009684552097453203,75,0.352774053812027
29,3,40,16,0.0005337256292255384,127,0.062170885503292084
31,1,44,32,0.007869776834472165,103,0.3439595103263855
28,1,49,17,0.009632148230466086,69,0.342619925737381
31,1,51,31,0.006823116204146424,50,0.338670939207077
22,3,58,16,0.004666218596621734,94,0.030370274558663368
26,1,48,28,0.0028946230143149882,115,0.20778729021549225
28,2,62,31,0.003030799363669551,124,0.026841850951313972
26,1,55,27,0.007244728707878451,82,0.3418254256248474
