Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adagrad,25,1,18,1,49,29,0.0090082306428653,70,0.4231472611427307
Nadam,20,2,20,1,42,26,0.0021835324080241,32,0.04848936200141907
Adadelta,18,1,19,1,63,28,0.0052704435011935,110,2.0459063053131104
Adam,16,2,26,2,52,17,0.00256530885346,119,0.04227902740240097
SGD,28,1,18,2,32,25,0.0046559960276136,120,0.5137233734130859
Adam,29,1,20,1,57,31,0.0005757057838009,35,0.2642443776130676
Adadelta,31,1,26,1,37,27,0.0089558742233753,78,1.228259563446045
AdamW,29,2,26,2,62,31,0.0095918216990525,55,0.052174877375364304
AdamW,19,2,17,1,41,17,0.0091866327416902,63,0.0685652568936348
Nadam,22,1,21,2,55,29,0.0034738996059216,113,0.06502407789230347
SGD,20,1,29,1,41,16,0.0066544378982682,108,0.5651195049285889
Adagrad,24,1,26,2,33,28,0.0028639167950115,52,0.3098889887332916
AdamW,25,1,19,2,57,21,0.0022709825750195,40,0.06878989934921265
SGD,20,2,22,2,59,24,0.0008457070153611,118,2.187567710876465
RMSprop,19,1,30,1,46,24,0.002305834066064,44,0.24778559803962708
RMSprop,28,2,20,1,34,25,0.0098559555787132,93,0.07585901021957397
Adadelta,30,1,19,2,48,19,0.0027079111694242,88,2.1086556911468506
Adamax,21,1,27,2,60,22,0.0005480278496122,94,0.1740516871213913
Adagrad,17,1,26,1,54,17,0.009569005923129,55,0.42609429359436035
Adamax,22,2,30,2,56,26,0.0023215823397969,118,0.05318080261349678
SGD,16,1,30,2,52,29,0.0037036874417764,94,0.45004814863204956
Adadelta,18,2,27,2,57,27,0.0038549699576619,55,1.5514568090438843
AdamW,22,1,23,2,41,17,0.0048425379092043,88,0.07091992348432541
Nadam,20,1,17,2,44,18,0.0026871828295201,127,0.0752565935254097
SGD,26,1,18,1,32,28,0.0030861557301603,101,1.0602169036865234
Nadam,28,2,31,1,52,16,0.0016901357161368,99,0.049080997705459595
Adamax,23,1,29,1,39,31,0.0021046526521016,77,0.28864407539367676
Adam,24,2,23,1,59,19,0.0081299216636968,107,0.050407811999320984
Adam,25,1,29,1,34,17,0.0067775597889768,122,0.26607802510261536
Adagrad,24,2,20,2,33,31,0.0066543611314694,77,0.1993781179189682
AdamW,31,1,22,1,44,16,0.0079430976464891,125,0.21150746941566467
RMSprop,16,2,21,1,51,23,0.0047265611736454,54,0.05011763423681259
Nadam,27,2,20,2,46,28,0.0093370519073186,115,0.04075103998184204
Adadelta,16,1,31,1,54,26,0.0050012163552932,122,1.9747411012649536
SGD,16,1,29,1,47,23,0.0020552460172271,39,0.5290112495422363
Adam,27,2,21,1,57,20,0.0084529913086966,85,0.05706183612346649
SGD,23,2,18,1,63,27,0.0005712005976497,113,2.268181562423706
RMSprop,18,2,22,2,48,19,0.0005074685989718,102,0.0723467767238617
Nadam,18,2,29,1,46,16,0.0002848140121571,119,0.15169067680835724
Adamax,16,1,24,2,37,21,0.0030361431000966,54,0.08213573694229126
Nadam,21,1,25,2,51,25,0.0016391717098596,91,0.06269103288650513
AdamW,22,1,26,2,42,23,0.0063667306024916,50,0.07700540125370026
AdamW,22,1,30,1,45,28,0.0073029222998988,107,0.29080477356910706
Nadam,20,2,23,1,35,20,0.0080849570263377,54,0.05852631852030754
Adagrad,22,2,18,2,41,30,0.0032652205482562,105,0.325498104095459
Nadam,29,1,24,1,62,19,0.006932751366624,62,0.29443997144699097
Adam,19,2,22,1,32,18,0.0072340848831846,122,0.057219162583351135
SGD,16,1,24,1,52,29,0.0056951850986525,63,0.5162458419799805
Adagrad,29,1,19,1,51,17,0.0037297223014101,125,0.6890160441398621
SGD,18,2,24,1,47,27,0.0029060110686341,73,0.5047820806503296
SGD,29,2,22,2,45,26,0.007291601418384,58,0.15681961178779602
Adagrad,18,2,27,1,41,20,0.0069071316804441,85,0.33483004570007324
Adagrad,30,1,27,1,61,20,0.0071242847318283,106,0.48896437883377075
SGD,25,1,19,1,58,31,0.0064887274066876,70,0.4840533435344696
Adamax,18,2,25,2,62,16,0.0025479989800582,68,0.049005527049303055
Nadam,28,1,29,1,42,29,0.0014564332166762,55,0.2096499800682068
Adamax,25,1,16,1,35,22,0.0033117368596531,126,0.309090793132782
SGD,17,2,16,2,52,27,0.0063572794923064,49,0.17055805027484894
Adadelta,19,1,19,2,49,19,0.0016650741626573,85,2.225555896759033
RMSprop,25,2,21,2,39,21,0.0047499187731697,100,0.03553726524114609
Adadelta,22,1,28,2,50,17,0.0084585836659321,123,1.4857944250106812
Adam,30,1,30,2,58,28,0.009000592522215,118,0.06605271250009537
Adam,19,1,23,1,59,26,0.001783871308243,35,0.23763754963874817
Adagrad,19,2,23,2,50,16,0.0087649968966912,108,0.14665406942367554
Adagrad,25,1,22,1,60,26,0.004136150985868,43,0.4395463466644287
Adamax,19,2,27,1,42,23,0.0065596019335184,86,0.05912655591964722
Nadam,18,2,28,2,42,21,0.0006903191789292,109,0.07295519858598709
Adadelta,23,2,25,2,55,16,0.0016005877556978,94,2.1564815044403076
Adam,29,2,24,1,37,22,0.0025517337443728,117,0.061315521597862244
Nadam,17,1,16,2,48,20,0.0020454254247804,50,0.06785821169614792
RMSprop,26,2,19,1,61,25,0.0093111026535948,53,0.08407241851091385
Adadelta,16,2,19,1,34,18,0.0076054030188314,80,1.8936845064163208
Adadelta,26,1,21,2,60,29,0.0086122214763614,102,1.2295886278152466
AdamW,30,1,21,1,40,22,0.0085001501722815,91,0.23525547981262207
Adam,16,2,18,1,52,28,0.0066061318598412,55,0.05622565373778343
Adadelta,23,2,20,2,47,24,0.0092317619755459,53,0.6052335500717163
RMSprop,19,2,19,2,39,31,0.0049244028029795,51,0.05017944797873497
SGD,16,1,28,1,56,16,0.0056008202109879,102,0.5640990734100342
AdamW,29,2,28,1,40,26,0.006508778763863,109,0.050139375030994415
Adadelta,28,1,20,1,48,16,0.0072173161167078,113,1.7082685232162476
Adadelta,27,1,29,1,53,20,0.0038743660343839,115,2.1174724102020264
AdamW,30,1,21,2,36,20,0.0026671194503113,77,0.07745150476694107
