Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
SGD,24,1,18,1,61,24,0.0054663467021451,52,0.4613683819770813
Adagrad,25,2,19,1,63,25,0.0046948820791255,64,0.37134039402008057
Adamax,23,1,31,1,48,30,0.0075296744266509,98,0.2557032108306885
Adamax,18,1,27,1,38,29,0.0075832679547763,85,0.29582956433296204
Adamax,24,1,20,2,42,16,0.0015981721830949,74,0.09877586364746094
RMSprop,27,2,21,1,46,24,0.0040659494334112,42,0.051504094153642654
AdamW,27,1,31,2,58,25,0.0053916914963057,37,0.0612252913415432
Nadam,24,1,16,2,62,19,0.0037214322525126,52,0.05944174528121948
SGD,24,1,26,2,42,21,0.0051173351224054,34,0.20183376967906952
Adadelta,29,1,19,2,63,27,0.0074907140983948,75,0.9955334067344666
RMSprop,23,1,26,1,32,30,0.0033548545194,105,0.36945828795433044
Adamax,26,2,24,2,57,29,0.002933611283608,32,0.03509662300348282
Adamax,19,1,30,1,36,18,0.0064450714257595,38,0.25364232063293457
Nadam,28,2,19,2,46,21,0.0027284674576223,45,0.03606537729501724
Adam,16,2,20,1,33,25,0.0073832424451874,39,0.07975120097398758
AdamW,27,2,20,2,58,22,0.000814695558124,126,0.06209292262792587
SGD,18,2,30,2,45,30,0.0056123447116007,61,0.2248457372188568
RMSprop,22,1,21,1,33,25,0.003314433451394,123,0.22401103377342224
Nadam,26,1,22,1,34,18,0.0038863555510557,93,0.24511460959911346
AdamW,31,2,27,1,42,17,0.0006099191564304,120,0.07883023470640182
Adamax,23,1,29,1,43,24,0.0044888983801109,81,0.2789726257324219
Adagrad,16,1,26,2,59,22,0.0080993835739737,113,0.2299031764268875
Adam,23,1,18,2,62,28,0.0038199191426585,32,0.06471504271030426
SGD,22,1,29,1,35,16,0.0041744418232186,86,0.6380269527435303
RMSprop,30,2,26,1,33,19,0.0073185652051088,36,0.10294073075056076
AdamW,21,2,19,1,53,29,0.0098208694212067,87,0.06093975156545639
Nadam,29,1,21,1,41,31,0.0079627388079207,108,0.18150286376476288
SGD,24,1,22,2,34,26,0.0087119765112102,41,0.17276066541671753
AdamW,23,2,30,2,59,29,0.0036458574053723,60,0.028576064854860306
Adamax,22,2,18,2,34,26,0.0037615145389612,73,0.054048892110586166
AdamW,17,2,17,2,39,25,0.001372113036533,93,0.04711335152387619
Adadelta,30,1,28,1,37,20,0.0054077566107524,82,1.9312940835952759
AdamW,20,1,24,2,62,22,0.0007713080345884,86,0.07213841378688812
AdamW,16,1,31,1,34,20,0.0002923767350311,83,0.37436774373054504
RMSprop,17,2,23,1,48,18,0.0075169216914119,95,0.053743552416563034
SGD,17,1,19,1,61,31,0.0012253277021893,106,2.2480545043945312
SGD,23,1,27,2,62,17,0.00378351704048,97,0.4468408524990082
Adam,27,2,29,1,61,24,0.0059604069703855,84,0.04344723001122475
SGD,19,1,27,1,50,27,0.0096425664568089,69,0.42712926864624023
Adadelta,29,2,31,2,58,28,0.0084898721276248,92,0.5657813549041748
