Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
SGD,16,2,22,1,33,29,0.0085054954756124,47,0.326815664768219
Adam,26,2,25,1,52,25,0.0019589935996468,74,0.046251315623521805
Adadelta,30,2,20,1,37,17,0.0011426175237254,102,2.2706539630889893
Nadam,29,2,17,2,56,29,0.0020549326859412,55,0.03317156061530113
RMSprop,30,2,28,2,52,26,0.0074861178547781,98,0.041853923350572586
AdamW,17,2,25,2,40,19,0.0044450673140587,117,0.034543585032224655
Adadelta,23,1,30,1,49,31,0.0012250496579121,108,2.252971649169922
AdamW,18,1,19,2,57,31,0.0064671374972412,71,0.06524042040109634
AdamW,21,2,21,1,49,18,0.008550187596557,103,0.0554293729364872
SGD,29,1,28,1,44,24,0.001118384462591,49,0.9437159895896912
Adadelta,29,2,21,2,44,16,0.0046403222246744,79,1.765376091003418
Adadelta,21,1,16,1,63,24,0.0054954314720812,105,1.929559588432312
RMSprop,22,2,21,2,34,26,0.0091417126462149,62,0.07305026799440384
Adamax,22,2,30,2,62,28,0.0046754800264842,64,0.030886568129062653
RMSprop,22,1,30,2,36,20,0.0084828514676671,34,0.11836037784814835
AdamW,24,1,30,1,44,18,0.0029196202531645,113,0.2669631242752075
SGD,16,1,22,2,33,31,0.0014888324873096,107,2.127732992172241
Adagrad,30,1,22,2,57,24,0.0047642683734275,44,0.2347593456506729
Nadam,31,1,31,2,45,17,0.0092229529905098,113,0.0569157637655735
Adam,23,1,17,2,34,28,0.0023624144780401,121,0.09173183888196945
Adadelta,21,1,26,2,36,23,0.0061242992716839,120,1.7651078701019287
RMSprop,21,1,17,2,52,25,0.0067730302361509,101,0.06302858144044876
Nadam,30,1,30,2,54,26,0.0027241227102184,125,0.05787544324994087
AdamW,26,2,17,2,46,25,0.0020080556168616,122,0.03966445475816727
Adagrad,17,1,20,2,57,17,0.0017359302582211,74,0.6999399065971375
Adamax,30,1,24,1,32,30,0.0022563451776649,34,0.2830369472503662
SGD,21,2,22,2,55,23,0.0068532774222026,118,0.26259833574295044
Adamax,30,1,27,1,58,24,0.0037993158243213,67,0.24566222727298737
AdamW,30,2,26,2,60,22,0.0047942617523725,93,0.030536210164427757
AdamW,31,2,26,1,56,31,0.00804486868241,121,0.048576291650533676
Adam,20,2,30,2,56,30,0.0011942617523725,72,0.03656432032585144
Adagrad,27,1,30,1,58,25,0.0047370558375634,85,0.5085442662239075
SGD,22,2,26,1,44,22,0.006948620613551,89,0.3821626305580139
Adamax,22,2,25,2,43,22,0.0001468770690796,118,0.29022055864334106
Adadelta,20,2,27,1,34,17,0.0050556610019863,68,1.6559349298477173
AdamW,28,2,26,2,51,18,0.0069790112557934,38,0.04871398210525513
Nadam,25,2,26,1,62,29,0.005797947472964,71,0.04319971054792404
Nadam,29,1,30,1,42,26,0.0011177885676451,92,0.28414973616600037
Adamax,19,1,28,1,63,22,0.0059226881483116,124,0.25345277786254883
AdamW,21,1,25,2,61,29,0.0022333039064224,100,0.06729164719581604
AdamW,31,2,31,1,60,22,0.004806775546237,83,0.04172389954328537
Nadam,30,2,21,1,51,23,0.0003101522842639,88,0.12938623130321503
Adam,18,1,26,1,37,29,0.0023771132200397,100,0.26444873213768005
AdamW,26,2,29,1,46,21,0.0041322224674464,114,0.045398514717817307
Nadam,25,2,20,1,60,30,0.002438093136173,46,0.04306403547525406
Adagrad,23,2,21,2,44,27,0.005629507834915,48,0.14424075186252594
SGD,19,2,22,1,49,26,0.0078029353343632,40,0.288613885641098
Adadelta,16,2,22,2,51,19,0.0013412491723681,43,2.1944420337677
AdamW,20,2,28,2,43,25,0.0094950783491503,88,0.04845813661813736
Adadelta,17,1,26,2,49,27,0.0030862282056941,107,2.1702382564544678
Nadam,17,1,27,1,46,26,0.0071859854336791,114,0.22561919689178467
Adadelta,22,1,21,1,43,18,0.0027843080997572,83,2.1536240577697754
SGD,24,2,23,2,57,21,0.0019472743323769,55,0.39386171102523804
Adam,30,1,28,1,55,23,0.003699404105054,106,0.19135473668575287
SGD,22,2,24,2,51,18,0.0084300154491282,94,0.235697939991951
Adamax,26,1,23,1,54,20,0.0026021628779518,41,0.26405495405197144
SGD,30,1,23,2,53,25,0.0058182079011255,75,0.33840128779411316
RMSprop,29,2,17,2,36,17,0.0088614433899801,45,0.08342911303043365
Adamax,28,2,21,2,59,25,0.0049875303465018,59,0.032562509179115295
SGD,28,2,16,1,38,31,0.0055732950783491,64,0.424370139837265
AdamW,16,1,18,1,60,30,0.0093880158905318,119,0.30575960874557495
Adamax,18,1,28,1,46,30,0.0034616420216287,42,0.25877460837364197
Adagrad,21,2,19,2,59,29,0.0028198631648642,52,0.25833234190940857
AdamW,23,2,28,2,48,22,0.0013712425513131,69,0.037724029272794724
SGD,30,1,16,2,39,21,0.0041481129993378,34,0.26579606533050537
Adam,31,1,25,1,61,20,0.0015927168395497,32,0.19848938286304474
Adamax,30,2,25,1,56,28,0.0082804458177002,127,0.04736276715993881
AdamW,22,2,27,1,63,17,0.005869653498124,58,0.04801987484097481
Nadam,21,2,24,1,47,16,0.0004623041271242,62,0.1034720316529274
Adadelta,16,1,31,2,60,29,0.0002932685941293,118,2.2910513877868652
Nadam,25,2,19,1,36,27,0.005364334583977,119,0.050107914954423904
AdamW,18,2,23,1,34,25,0.0059145442507172,43,0.0669778436422348
Adadelta,26,1,17,1,32,24,0.0007525049657912,62,2.2843124866485596
SGD,29,1,25,1,45,29,0.005507746634297,86,0.5068835020065308
SGD,31,1,19,2,47,26,0.0093800706245861,68,0.23685608804225922
Adamax,23,2,16,2,48,29,0.0071152725667623,61,0.03905515372753143
SGD,21,1,31,1,38,16,0.0043433679099536,119,0.7514973282814026
AdamW,20,1,31,1,51,29,0.0080303685720591,104,0.3107686936855316
