Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Nadam,21,1,31,1,54,16,0.006863606267932,116,0.22658628225326538
Adadelta,31,1,28,1,45,17,0.0089969101743544,69,1.0533140897750854
Adam,27,2,19,2,43,29,0.0019875965570514,46,0.035952914506196976
Adamax,28,2,21,1,59,16,0.005651754579563,43,0.04502587020397186
Nadam,26,2,29,2,48,22,0.0011978371220481,33,0.0342523530125618
Adadelta,31,1,23,2,63,27,0.0088457514897373,34,0.49608293175697327
Adagrad,27,2,31,1,61,23,0.0018155815493268,121,0.6453930139541626
AdamW,26,1,31,1,62,25,0.0022434341205032,92,0.24166326224803925
Nadam,18,1,19,1,56,17,0.0028427058044581,82,0.23633193969726562
SGD,18,2,30,1,45,28,0.0031775987640697,68,0.4690939784049988
RMSprop,31,1,16,1,43,19,0.008690818803796,89,0.335162490606308
Adamax,28,2,22,2,52,27,0.0089758552195983,81,0.036208126693964005
AdamW,22,1,20,2,53,21,0.0064429044361068,53,0.0665149912238121
Adadelta,19,1,30,2,55,22,0.0080444714191127,55,0.7788335680961609
Adadelta,23,2,21,2,36,31,0.0050199073052306,109,1.8533674478530884
RMSprop,22,1,21,2,52,20,0.0027678216729198,69,0.05843869224190712
SGD,22,2,22,1,49,21,0.0038513573162657,34,0.3683740496635437
RMSprop,25,1,30,2,48,18,0.0093387552416685,111,0.06580528616905212
Adam,23,1,20,2,49,27,0.0042376958728757,74,0.06055746600031853
Adam,28,1,20,1,58,24,0.0068932023835797,44,0.20107021927833557
SGD,25,2,28,1,34,26,0.0035734716398146,65,0.4784453511238098
Adagrad,21,2,21,2,49,25,0.0099201500772456,40,0.10348072648048401
Nadam,31,2,21,1,55,17,0.0019762745530787,42,0.04323688894510269
Adam,22,1,22,1,49,23,0.00638828073273,54,0.25837382674217224
Adadelta,28,2,18,2,47,22,0.0002857205914809,101,2.305218458175659
AdamW,22,2,29,1,35,21,0.0009439858750827,35,0.05889296904206276
Adagrad,16,1,28,2,34,29,0.005334341205032,73,0.2507407069206238
RMSprop,28,1,31,2,45,27,0.0023504965791216,56,0.058463722467422485
AdamW,19,2,19,1,56,30,0.0067404546457735,76,0.05577234923839569
AdamW,27,1,27,2,59,20,0.0048093577576693,112,0.062215015292167664
Adadelta,19,1,25,1,38,18,0.0077937982785257,55,1.5672849416732788
RMSprop,28,1,20,2,40,20,0.0018396159788126,76,0.07683926820755005
RMSprop,16,1,21,1,47,23,0.0072708011476495,69,0.2671005427837372
SGD,19,1,17,1,51,31,0.0084510704038843,84,0.4621785581111908
RMSprop,31,2,26,2,61,27,0.0043596557051423,73,0.03406890109181404
Adagrad,18,2,29,2,34,26,0.0057043919664533,105,0.19917328655719757
Adagrad,31,1,24,2,59,21,0.0016475391745751,76,0.4926832318305969
AdamW,24,1,18,1,37,19,0.0002821452218053,115,0.3810157775878906
RMSprop,19,1,29,1,51,19,0.0075522621937762,122,0.3562352955341339
AdamW,23,2,21,1,53,23,0.0095500993158243,84,0.05926747992634773
Adamax,16,2,17,2,48,21,0.002289119399691,63,0.06302908062934875
SGD,18,2,16,1,35,27,0.0060090929154711,69,0.42100614309310913
Adam,26,2,26,2,37,31,0.0061022511586846,108,0.03728196769952774
Nadam,28,1,20,1,44,21,0.0014278525711763,66,0.26817265152931213
AdamW,25,2,23,1,47,19,0.0083747958508055,52,0.06613711267709732
Nadam,16,1,27,2,41,27,0.0048258441845067,58,0.05749701336026192
Adagrad,25,1,22,1,36,19,0.0028997130876186,103,0.6529561281204224
Adagrad,26,2,25,1,41,19,0.0083390421540498,46,0.2352878749370575
Adam,16,1,17,1,35,27,0.001764334583977,109,0.3773176670074463
Adagrad,21,1,26,1,52,25,0.0092513573162657,79,0.42185813188552856
SGD,28,2,28,2,42,26,0.0041548664753917,73,0.315550297498703
Adadelta,22,2,23,1,36,16,0.0060055175457956,115,1.9219634532928467
AdamW,31,1,31,1,51,25,0.0029805561686161,79,0.24584025144577026
AdamW,25,1,23,1,53,24,0.0065914809092915,76,0.21263790130615234
Adadelta,18,2,23,2,62,16,0.0035053409843301,124,1.8898217678070068
Adam,16,1,25,2,50,17,0.0009819245199735,107,0.08038827776908875
SGD,25,1,29,1,53,23,0.0088278746413595,118,0.4918612837791443
SGD,21,1,29,2,56,26,0.0025358199073052,75,0.41568639874458313
SGD,28,1,26,1,53,17,0.0048776870448024,56,0.4857349395751953
SGD,29,1,24,1,53,16,0.0031043036857205,89,0.8171000480651855
Nadam,31,1,29,1,44,28,0.0003298168174795,88,0.3252021372318268
Adam,24,2,29,2,40,17,0.0094982564555285,73,0.04906609654426575
SGD,21,1,17,1,53,26,0.0080599646877069,97,0.49456340074539185
Adam,26,2,20,1,50,24,0.0018823217832708,126,0.06434459239244461
Nadam,22,2,16,2,47,30,0.0030180975502096,113,0.03589159622788429
SGD,19,2,20,2,56,21,0.0043763407636283,108,0.3456713557243347
SGD,20,2,23,2,46,18,0.0029857205914809,68,0.3824124336242676
RMSprop,17,2,29,1,53,29,0.002341359523284,88,0.04237621650099754
Adamax,22,1,31,2,55,30,0.0070948135069521,121,0.07140783220529556
Adagrad,24,2,25,2,33,27,0.0059701611123372,92,0.20804645121097565
Adadelta,19,1,30,2,50,26,0.0071722798499227,117,1.4690479040145874
SGD,23,2,17,2,32,16,0.0071381152063562,76,0.2645634114742279
Adamax,18,2,17,1,45,31,0.0038412271021849,34,0.05785026773810387
Adamax,16,1,24,1,43,20,0.0045280953431913,90,0.2822975218296051
Nadam,23,1,22,2,47,21,0.0050089825645552,88,0.06293380260467529
Adam,28,1,23,1,48,25,0.0029908850143456,89,0.25515496730804443
SGD,17,1,27,1,61,27,0.0066294195541823,52,0.4248666763305664
SGD,26,1,25,1,41,25,0.0091875965570514,99,0.4882350265979767
Adadelta,24,2,23,1,43,16,0.0077433458397704,60,1.252488136291504
Adam,22,2,30,1,55,27,0.0065346722577797,54,0.05179807171225548
RMSprop,17,2,24,2,51,31,0.0058611123372324,101,0.035716090351343155
SGD,25,1,20,1,51,27,0.0079681968660339,89,0.5031141042709351
RMSprop,16,2,16,2,42,21,0.0092358640476715,104,0.05871972814202309
Adagrad,17,2,22,1,39,16,0.0020394394173471,36,0.5136308073997498
RMSprop,27,1,16,1,47,24,0.0067483999117192,56,0.28108668327331543
Adagrad,22,1,29,1,46,21,0.0008839991171926,108,1.6387114524841309
Adamax,21,1,19,1,50,19,0.0047257338335908,111,0.26224032044410706
Adamax,30,1,18,2,45,23,0.0080988964908408,83,0.06995175778865814
Adam,30,2,30,2,34,19,0.0026408960494372,115,0.040478408336639404
Adadelta,25,2,29,1,53,19,0.0070775325535201,62,1.3471295833587646
Adagrad,19,1,25,2,35,25,0.0085859412933127,89,0.199349045753479
Adadelta,24,1,22,1,52,31,0.0099686708860759,119,1.031283974647522
Adamax,27,2,31,1,50,28,0.0033688810417126,92,0.058020032942295074
SGD,24,2,26,2,46,23,0.0045445817700286,112,0.3688097894191742
Adamax,16,1,25,1,59,25,0.0074273228867799,71,0.24598541855812073
RMSprop,25,1,20,2,32,29,0.0059355992054734,67,0.07564090192317963
Nadam,25,1,30,1,35,23,0.0089722798499227,40,0.22586852312088013
Nadam,26,1,31,2,35,19,0.0021522621937762,44,0.07018894702196121
Adamax,26,2,17,2,38,22,0.0052135731626572,111,0.05372529849410057
Adam,28,2,26,2,32,24,0.0009245199735157,69,0.046061694622039795
SGD,25,2,21,1,38,19,0.0052022511586846,90,0.43401843309402466
Adagrad,24,2,25,2,50,20,0.0081896711542705,72,0.13257050514221191
RMSprop,30,1,23,1,46,27,0.0024970867358199,86,0.2024775594472885
RMSprop,21,2,17,1,61,21,0.0077369896270139,82,0.052923645824193954
RMSprop,23,2,16,1,53,23,0.0010790553961597,44,0.05664451792836189
Adagrad,22,1,17,1,36,29,0.0080134848819245,65,0.3578987419605255
Adadelta,21,1,31,2,52,19,0.0030192893401015,51,1.7503191232681274
Adam,24,2,25,2,61,29,0.0042929154711984,44,0.0380285382270813
Adamax,29,1,18,1,52,27,0.0052586625468991,90,0.3489148020744324
Adadelta,27,2,22,2,41,27,0.0028399249613771,78,2.150334119796753
SGD,27,2,17,1,58,16,0.0096778194659015,35,0.2658284902572632
Nadam,29,1,20,2,52,16,0.0002964467005076,118,0.14289267361164093
Adagrad,18,2,17,2,49,24,0.005924674464798,105,0.22843831777572632
RMSprop,26,1,28,1,36,27,0.0098534098433017,47,0.3886534571647644
Adam,31,1,24,1,36,24,0.0048427278746413,55,0.20782597362995148
Adadelta,17,2,19,2,43,20,0.00804486868241,61,1.139464020729065
Adam,30,1,26,2,34,27,0.0019371441182961,75,0.0701754242181778
Adam,16,1,28,1,37,31,0.0033841756786581,94,0.2562703490257263
SGD,23,2,16,2,32,31,0.0042233943941734,108,0.3318745791912079
AdamW,22,1,27,2,52,20,0.0085694548664753,73,0.06848381459712982
Adam,22,1,17,2,51,25,0.0094742220260428,117,0.07333721965551376
Nadam,17,2,21,2,39,21,0.0042718605164422,80,0.04154800623655319
RMSprop,21,2,16,1,47,28,0.0070809092915471,94,0.057026829570531845
Adam,31,2,20,1,52,18,0.0062184506731405,113,0.04847265034914017
Adamax,27,1,26,2,44,22,0.0048546457735599,44,0.0748584121465683
Adadelta,26,1,27,1,48,22,0.0094211873758552,76,1.0558782815933228
Nadam,19,2,20,1,59,26,0.001170624586184,126,0.06388252973556519
AdamW,26,1,19,1,40,31,0.0003884131538291,121,0.33840152621269226
SGD,18,2,25,2,44,17,0.0051716618847936,85,0.3123634159564972
AdamW,31,1,29,2,57,26,0.0061173471639814,115,0.05633985251188278
Adagrad,28,2,22,2,58,25,0.0082534319134848,118,0.17334942519664764
Adamax,23,2,26,2,37,18,0.0011569190024277,89,0.08908994495868683
Nadam,31,2,17,2,47,31,0.0006013462811741,97,0.06554614752531052
AdamW,25,2,16,2,57,19,0.005717898918561,77,0.038491781800985336
Adamax,30,2,21,2,35,18,0.00130291326418,107,0.08964315056800842
AdamW,28,1,27,2,39,28,0.0088475391745751,90,0.07238079607486725
Adadelta,26,2,19,1,38,20,0.0013587287574486,116,2.2821552753448486
AdamW,25,2,20,2,53,31,0.0076702493930699,40,0.05347795784473419
Adadelta,19,1,22,1,34,21,0.0066550430368572,106,1.9919004440307617
Adamax,17,1,23,1,50,19,0.008600242772015,95,0.2579304277896881
Adadelta,22,1,18,1,46,25,0.0096583535643345,107,1.4300562143325806
Nadam,20,2,16,2,53,22,0.0075047892297506,68,0.04427053779363632
AdamW,31,1,28,2,36,31,0.0037645552858088,78,0.06735993921756744
Adam,25,1,28,2,57,21,0.0075806665195321,128,0.05554075911641121
SGD,20,1,29,1,53,30,0.0035472522621937,80,0.5884690880775452
SGD,28,1,24,2,39,27,0.0087253807106598,122,0.30539193749427795
RMSprop,17,2,25,1,63,24,0.0014272566762304,114,0.05159073323011398
SGD,19,1,24,1,46,27,0.0015988744206576,84,1.0828967094421387
Adam,21,1,26,1,32,29,0.0049936879276098,104,0.27544286847114563
RMSprop,31,1,28,1,33,22,0.008147163981461,41,0.3070238530635834
SGD,21,2,18,2,52,21,0.0056910836459942,36,0.17085307836532593
AdamW,20,2,27,2,61,30,0.0098180534098433,123,0.03983885794878006
RMSprop,27,2,29,1,54,21,0.0083553299492385,117,0.051084253937006
AdamW,19,1,20,2,50,30,0.0015617303023615,77,0.07021530717611313
Nadam,29,2,26,1,47,22,0.0064065548444052,44,0.05669001117348671
Adamax,20,2,19,2,62,17,0.0076893180313396,46,0.02776382677257061
SGD,23,1,26,2,57,19,0.0036978150518649,54,0.3066314458847046
Adagrad,19,1,17,1,43,27,0.0005616199514455,60,1.7820613384246826
Adagrad,16,1,17,1,37,26,0.0088938203487088,120,0.4690903127193451
Nadam,26,2,29,2,61,30,0.0091178768483778,49,0.05210765078663826
Adagrad,18,1,25,2,56,23,0.0095391745751489,96,0.16566354036331177
Adagrad,31,2,25,2,55,20,0.0053800264842198,92,0.22980394959449768
AdamW,20,2,19,2,33,18,0.0066820569410726,90,0.04320879653096199
RMSprop,30,1,22,1,60,27,0.0001601853895387,69,0.35779711604118347
Adamax,28,1,31,2,47,25,0.0091947472964025,43,0.060219455510377884
Adamax,27,2,17,2,62,18,0.0027457735599205,105,0.06673043221235275
Adagrad,26,1,23,1,44,17,0.0023125579342308,116,0.963657796382904
Adadelta,17,1,24,1,54,16,0.002040035312293,79,2.22639536857605
AdamW,31,2,31,2,59,22,0.0073146987419995,104,0.037978414446115494
Nadam,19,2,31,2,63,25,0.0086699624806885,113,0.03674519062042236
AdamW,23,1,29,2,55,28,0.001817170602516,83,0.06659778207540512
Adagrad,30,2,17,2,54,24,0.0018632531450011,122,0.45009374618530273
Adam,18,2,21,2,57,19,0.0044738689031118,64,0.03809833899140358
AdamW,19,2,20,2,35,22,0.000406290002207,116,0.11272876709699631
SGD,19,1,16,1,48,18,0.0010329728536746,60,1.380985140800476
SGD,23,1,21,1,51,21,0.0065980357536967,125,0.5612291693687439
Adam,18,2,24,2,50,23,0.0029336790995365,55,0.03528325632214546
AdamW,21,2,25,1,52,20,0.0005181196203928,70,0.08023282885551453
SGD,20,2,27,2,48,25,0.0044430809975722,91,0.3290855586528778
Adagrad,19,2,19,1,34,24,0.0051229971308761,114,0.4746553897857666
Adadelta,22,1,16,2,61,23,0.0039147208121827,127,2.2156598567962646
Adadelta,20,1,27,1,36,20,0.0008814169057603,117,2.2772843837738037
Adamax,24,1,21,2,36,23,0.0089395056278967,121,0.07547778636217117
Adagrad,31,1,21,1,61,28,0.0012254469212094,69,0.769209623336792
Adagrad,24,2,22,2,61,27,0.0005473184727433,98,1.4083846807479858
Adam,28,2,29,1,49,22,0.0079920326638711,42,0.07089940458536148
RMSprop,31,2,19,1,32,27,0.0059653939527698,74,0.05712465941905975
AdamW,16,2,23,1,59,29,0.0009078349150297,80,0.07431269437074661
SGD,27,1,19,1,59,22,0.0012049878613992,71,1.6350152492523193
Adam,24,1,19,2,44,26,0.0086373868903111,47,0.0936633050441742
RMSprop,16,2,26,1,48,23,0.0054723902008386,96,0.0502997562289238
Adamax,17,2,28,1,50,20,0.0083453983668064,46,0.042035941034555435
Adam,18,1,27,1,62,30,0.0038759876406974,70,0.2113230973482132
Adagrad,27,1,25,2,52,18,0.0022581328625027,49,0.3792369067668915
Adadelta,20,1,30,2,50,21,0.0023171264621496,64,2.1705150604248047
Nadam,27,1,25,1,50,26,0.0002398366806444,104,0.38021954894065857
Adagrad,16,2,22,2,51,23,0.0063404105054071,118,0.24823038280010223
