Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adamax,16,2,26,2,36,17,0.0056243434120503,122,0.04303906112909317
Adagrad,21,1,21,1,49,16,0.0080345398366806,81,0.41756975650787354
Adam,18,2,16,2,32,30,0.0033225998675789,75,0.043913740664720535
SGD,24,2,31,2,53,17,0.0052384021187375,36,0.15989148616790771
Adam,20,2,31,2,47,17,0.0072034650187596,103,0.036706194281578064
Adamax,28,2,17,1,63,29,0.0080267932023835,116,0.053124383091926575
Adagrad,16,2,18,1,48,23,0.0041675789009048,115,0.4710518419742584
RMSprop,28,1,26,2,38,21,0.0079519090708452,61,0.08044762164354324
Adagrad,25,1,28,1,33,25,0.0022319134848819,67,0.5965409874916077
Adam,28,1,19,2,46,26,0.009715360847495,35,0.10282620787620544
SGD,16,1,29,2,47,23,0.0028425071728095,93,0.4730333983898163
SGD,31,2,24,2,35,22,0.0095792981681747,56,0.17482216656208038
Adamax,30,2,24,1,40,16,0.0072652394614875,92,0.051393795758485794
SGD,25,1,29,1,36,28,0.0077790995365261,37,0.4030274450778961
Adamax,20,1,29,2,41,27,0.0043171485323328,93,0.07847993820905685
Adadelta,23,2,29,1,43,26,0.0085694548664753,104,1.1557193994522095
Nadam,30,2,28,1,48,25,0.0036243213418671,37,0.044146642088890076
Nadam,22,1,24,1,42,17,0.0053293754138159,64,0.19859206676483154
Adam,28,1,23,1,55,17,0.006733502538071,116,0.20383799076080322
RMSprop,26,1,20,2,54,18,0.0023947914367689,79,0.06149996444582939
Adam,22,1,29,2,58,19,0.0073101302140807,106,0.05822783336043358
Adadelta,18,1,16,2,63,21,0.0079411829618185,53,1.1555784940719604
Adam,20,1,31,2,38,17,0.0066788788346943,73,0.07040540128946304
RMSprop,18,2,28,2,44,19,0.0086763186934451,86,0.05406217277050018
AdamW,29,2,19,2,35,21,0.0045884793643787,88,0.040462832897901535
Adam,21,2,23,1,40,21,0.0034529022290885,106,0.05910683423280716
AdamW,20,1,31,1,56,24,0.0084572279849922,47,0.26728636026382446
Adamax,30,2,17,2,33,16,0.002217413374531,108,0.07808602601289749
Adadelta,26,1,30,1,60,29,0.0071295740454645,55,0.9787659645080566
AdamW,31,1,16,1,58,17,0.0094130434782608,110,0.3245638310909271
Nadam,27,2,30,1,54,20,0.0081501434561906,78,0.05013154447078705
SGD,23,1,24,2,33,26,0.0001085411608916,38,2.278499126434326
Adagrad,29,2,27,2,59,18,0.0089953211211653,121,0.17352725565433502
Adadelta,23,2,30,1,57,31,0.0071184506731405,67,1.0234637260437012
Adamax,21,1,29,1,49,31,0.0041375855219598,97,0.2602379024028778
AdamW,20,2,18,2,32,16,0.0088850805561686,64,0.051799897104501724
Adam,25,1,19,2,60,24,0.002614279408519,59,0.06260468810796738
Adam,31,2,25,1,41,28,0.0049523725446921,73,0.04774579778313637
Adam,24,1,30,2,32,16,0.0099801368351357,75,0.07735368609428406
RMSprop,30,1,30,2,58,28,0.0078935113661443,91,0.06272513419389725
Adadelta,28,2,25,2,44,20,0.009320679761642,32,0.4677427113056183
Adadelta,28,1,27,2,52,28,0.0080424851026263,92,1.1104897260665894
AdamW,29,1,26,1,44,31,0.0020638711101302,123,0.27672693133354187
