Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adam,54,26,0.0066260254139503,111,0.07700317353010178
Adamax,51,26,0.0028273256686637,46,0.11385399848222733
Adadelta,33,31,0.0022335540895144,114,2.1817681789398193
Nadam,54,25,0.0089109898358845,124,0.06682660430669785
Adamax,52,29,0.0014649958273721,69,0.1617780476808548
Adam,58,22,0.0077206281949762,77,0.076004758477211
SGD,48,28,0.0048192137147348,62,0.46822986006736755
SGD,40,31,0.0083917849218924,68,0.37183877825737
RMSprop,59,27,0.0097906167083957,117,0.0828372985124588
AdamW,53,21,0.0097736050223658,58,0.09571029245853424
SGD,60,29,0.0031875230812319,62,0.6148962378501892
AdamW,47,29,0.0003566668837898,57,0.18579784035682678
Adamax,38,25,0.006923249001048,60,0.10315964370965958
RMSprop,62,23,0.0035345539026213,85,0.0678529292345047
Nadam,46,17,0.0021803161356721,104,0.08805952221155167
Adadelta,58,24,0.008488336784468,55,1.098760724067688
Adagrad,47,26,0.0033141593398436,89,0.5170792937278748
SGD,59,22,0.000619430023805,64,2.090144395828247
AdamW,52,27,0.0055287483924498,52,0.07662787288427353
Adam,51,18,0.0024473507835134,102,0.08682090789079666
Adadelta,35,30,0.0040750581829885,115,2.1691884994506836
Adadelta,37,18,0.0017987556044577,42,2.148340940475464
SGD,48,19,0.0015060697581694,123,1.9040286540985107
Adagrad,56,20,0.0043576312806971,85,0.41837987303733826
SGD,35,26,0.0076821515657197,111,0.5526335835456848
AdamW,54,16,0.0005840059528968,32,0.12731313705444336
AdamW,36,21,0.0064124029778664,57,0.10151704400777817
Adam,61,22,0.0032731963319571,106,0.06868189573287964
SGD,50,22,0.0026824099776403,71,1.058423399925232
Nadam,53,17,0.0065733659262195,39,0.08151698112487793
RMSprop,43,26,0.001670129350064,101,0.09918882697820663
Adagrad,33,25,0.0012078564347103,64,1.068453311920166
Nadam,50,17,0.0075673957179515,118,0.0751296877861023
Adadelta,42,28,0.0054124700338014,91,1.8959240913391113
AdamW,35,31,0.0027978316345445,72,0.08912932872772217
SGD,60,30,0.0005749194011059,88,2.1805331707000732
Nadam,59,24,0.0069162425265889,97,0.06695079058408737
Nadam,39,17,0.0051526040478024,51,0.07657548785209656
Adam,42,27,0.0015115826357603,99,0.09758107364177704
RMSprop,63,17,0.0094066807373084,90,0.09158322215080261
Adamax,59,20,0.0012030722334496,38,0.162503182888031
RMSprop,42,26,0.0059948318373283,100,0.08509156852960587
Adagrad,43,22,0.0050844437566446,82,0.39383071660995483
AdamW,35,19,0.007342651048907,56,0.09625085443258286
Adadelta,47,17,0.0041053402835095,63,1.8311737775802612
Adagrad,33,27,0.0010444974065213,66,1.1362555027008057
Adagrad,51,17,0.0016498866986068,106,1.0838336944580078
RMSprop,51,31,0.0057096876953178,112,0.0755750834941864
Adagrad,38,30,0.0038928403440381,105,0.5286911129951477
Adadelta,56,30,0.0044284961479629,125,2.0860190391540527
SGD,54,27,0.0002638179320568,74,2.2333834171295166
Nadam,54,29,0.0039352662610538,53,0.0675380527973175
SGD,46,30,0.0072233622908784,98,0.5308113694190979
Adam,60,26,0.0074949886906616,59,0.07639113813638687
Adamax,46,24,0.005795113875152,90,0.10088671743869781
AdamW,41,22,0.0023499979124945,65,0.08331967145204544
SGD,57,30,0.0011863456566088,57,1.506773829460144
Adam,42,29,0.0036753705626865,115,0.08476699888706207
AdamW,45,18,0.0008650857606649,88,0.13457904756069183
Adagrad,46,17,0.0080884866898821,37,0.2914445400238037
Nadam,44,26,0.0042132782424989,97,0.08214285224676132
RMSprop,61,16,0.0059181427412076,50,0.0858076959848404
Adamax,53,30,0.0021633968649464,82,0.15058188140392303
Adagrad,46,24,0.0087760810203839,114,0.3372187912464142
Adamax,53,23,0.009353958307316,110,0.07396839559078217
Adamax,59,31,0.0002457079967781,55,0.3059881329536438
Adamax,42,17,0.0008651462863927,108,0.26422443985939026
Adagrad,62,20,0.0028818462036635,98,0.5787474513053894
Adagrad,38,19,0.0091344229844446,80,0.31944137811660767
Adagrad,62,30,0.0076644789026736,38,0.2553766667842865
Adam,53,18,0.0008273766151815,39,0.10436078906059265
Adam,34,20,0.0031023962101396,58,0.08870130032300949
Adam,46,31,0.0095151311367476,32,0.11496441811323166
RMSprop,62,25,0.0017546747192206,70,0.07899278402328491
Nadam,47,25,0.0043039166322558,40,0.07755427807569504
Adagrad,47,26,0.0071103742205277,55,0.3067932724952698
Adamax,41,23,0.0095340841675017,125,0.09638245403766632
Adadelta,58,18,0.0089689771154742,63,1.2628592252731323
Adagrad,52,22,0.0016241827420709,38,0.5434838533401489
RMSprop,39,18,0.0020362697902562,107,0.11244085431098938
RMSprop,47,26,0.0044553282221681,58,0.07823672145605087
Adamax,48,31,0.0049550948330617,49,0.0887976735830307
Adam,61,17,0.0019182467981589,72,0.07031511515378952
Adadelta,52,25,0.0031803721494274,94,1.992493987083435
Nadam,43,21,0.0090834071974416,56,0.09499906748533249
SGD,38,22,0.0065782763957579,66,0.44527268409729004
Adagrad,58,24,0.0002709471645751,127,2.198033094406128
RMSprop,45,30,0.0080986974461957,127,0.08322157710790634
Adamax,38,19,0.0093873392782865,37,0.09548735618591309
Nadam,50,21,0.0078053097282282,51,0.08897172659635544
SGD,46,24,0.0075058115723906,117,0.6139493584632874
Adagrad,62,26,0.0039090242503221,91,0.43008264899253845
Adadelta,55,30,0.0077310130704047,116,1.711044192314148
Nadam,44,30,0.0075659244478223,64,0.08270566910505295
AdamW,58,30,0.0098420730307869,88,0.0747251883149147
SGD,54,26,0.0095443319953139,36,0.29271039366722107
Adadelta,40,29,0.0047548864480242,96,1.9902877807617188
Adam,51,28,0.0021908106814563,32,0.06618211418390274
Adadelta,59,21,0.0040659796038983,41,1.6609779596328735
SGD,58,30,0.0094529216463529,126,0.50942063331604
Adam,45,29,0.0052476377142076,37,0.08284242451190948
SGD,33,17,0.0097218740114537,47,0.34138527512550354
AdamW,51,24,0.0009118467402945,114,0.13069956004619598
Adamax,47,24,0.0095793206323637,100,0.08706120401620865
RMSprop,61,22,0.0059387722772386,88,0.0768008753657341
RMSprop,38,21,0.0090615812734333,97,0.10273780673742294
Adagrad,59,18,0.0093385718441544,114,0.33490556478500366
Adagrad,58,31,0.0051896649202041,44,0.3202749788761139
Nadam,51,21,0.0016511228157561,100,0.09123703837394714
Adadelta,33,22,0.0019817698919514,99,2.233738660812378
Adam,58,27,0.0057164241326779,38,0.0797027125954628
RMSprop,39,22,0.0022378308981868,35,0.09351157397031784
Nadam,37,31,0.0083399150168094,119,0.08179549127817154
RMSprop,38,19,0.0030536142572122,102,0.09702837467193604
Adadelta,37,29,0.0021811298428126,84,2.177192211151123
RMSprop,58,20,0.0090420216543711,87,0.09493312984704971
SGD,42,27,0.0032527058509401,90,0.9275720715522766
AdamW,53,23,0.004848809798932,66,0.07786709815263748
Adadelta,42,25,0.0088997316384999,97,1.537187099456787
RMSprop,32,24,0.0087942787302389,66,0.13536593317985535
SGD,51,21,0.0037407759058765,59,0.5562348961830139
Adadelta,40,21,0.0025284125318237,84,2.1665103435516357
Adam,39,18,0.009338796295119,73,0.10244381427764893
AdamW,40,20,0.0010570107213327,124,0.15750283002853394
Nadam,63,19,0.0065762481465827,114,0.06864181905984879
SGD,58,25,0.009954592981626,76,0.3918033242225647
SGD,53,16,0.0098722517611644,70,0.3730347752571106
Adamax,33,18,0.0031632772433159,114,0.16284213960170746
Adam,48,31,0.0051622699782409,79,0.06975436210632324
AdamW,57,23,0.0052804082925497,123,0.06955339014530182
RMSprop,62,31,0.0037252862982242,103,0.06794874370098114
