Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
AdamW,38,22,0.000765073221847,124,0.1702083945274353
Adamax,59,22,0.00459660313011,40,0.08651688694953918
Adam,40,20,0.0018527678201342,109,0.11004364490509033
RMSprop,34,22,0.0096603791808738,48,0.1340569704771042
SGD,62,17,0.0068911182372705,126,0.7149969339370728
Adamax,62,25,0.0004208911895273,113,0.28583547472953796
RMSprop,63,18,0.000600981373371,52,0.13343313336372375
Adadelta,61,25,0.0008667728336447,111,2.258993148803711
Nadam,33,21,0.0054772056396356,35,0.10236058384180069
Nadam,39,28,0.0007189649168641,96,0.1508653610944748
Adam,62,17,0.006498429683247,91,0.06676825135946274
Adamax,46,30,0.003828628873697,43,0.10553969442844391
AdamW,55,20,0.0072679153686771,109,0.07246261835098267
Adadelta,49,18,0.0001215049674782,122,2.2806692123413086
Adagrad,55,22,0.0013746781407705,96,0.9688004851341248
SGD,57,18,0.0057148104066014,55,0.45131680369377136
Adagrad,33,21,0.0073275532511406,55,0.3191761076450348
AdamW,51,23,0.0032915546866714,37,0.0757085382938385
RMSprop,38,30,0.0024081064456572,34,0.09345473349094391
Adadelta,36,21,0.0053158567880497,36,1.5367205142974854
AdamW,49,29,0.004037990881766,91,0.07330863922834396
Adamax,42,27,0.0042634995888868,72,0.11680419743061066
RMSprop,36,27,0.0073272995128354,88,0.09564944356679916
Nadam,60,28,0.0071063726582586,56,0.07411199063062668
Adam,57,31,0.0015088415568217,72,0.07664728164672852
AdamW,39,18,0.0015131412504432,114,0.11340456455945969
Nadam,35,30,0.0092982118499732,42,0.11331479996442795
Adamax,35,28,0.0074105670930632,99,0.11235322803258896
RMSprop,49,16,0.0007590588430778,93,0.1596044898033142
Adadelta,35,26,0.0092246117957637,55,1.3077582120895386
RMSprop,38,23,0.0086520451738293,123,0.0952184721827507
Adagrad,55,18,0.0045417294894084,57,0.3560159206390381
RMSprop,63,28,0.0023721518073177,122,0.07403329759836197
SGD,55,26,0.0038327179515872,88,0.719367265701294
AdamW,57,19,0.0030145358198651,84,0.06782037019729614
Adamax,43,18,0.0017606889201319,88,0.17897425591945648
AdamW,50,26,0.0029206494463991,102,0.08089201152324677
Adagrad,52,27,0.0047316711522815,45,0.31965118646621704
Adadelta,60,24,0.0039346752617569,36,1.765874981880188
Adam,38,27,0.0006698536195051,122,0.17434097826480865
SGD,60,29,0.0055678452374077,117,0.7031607627868652
Nadam,35,29,0.0026356451777428,124,0.10217318683862686
Nadam,59,28,0.0059290716384274,32,0.08013494312763214
Adagrad,41,19,0.0042247635540859,119,0.5630784034729004
AdamW,60,28,0.004860270138152,48,0.06893761456012726
AdamW,33,30,0.0064935127164003,124,0.09536536782979965
RMSprop,37,17,0.0024556174286163,50,0.09928691387176514
Adam,51,19,0.0071098074068655,42,0.09174404293298721
Adamax,38,31,0.0099731405008894,64,0.09537745267152786
Nadam,35,28,0.0088574154443456,69,0.09816823154687881
AdamW,46,26,0.0001449008826945,105,0.2936462163925171
Adadelta,49,30,0.0066337944003303,65,1.4897419214248657
AdamW,47,24,0.0077976479031981,75,0.08273996412754059
SGD,57,18,0.0075087610213715,118,0.569699227809906
RMSprop,35,28,0.0063814173075574,73,0.09508062154054642
Adagrad,59,18,0.0036707473994956,40,0.39926838874816895
SGD,59,31,0.0073382879030348,75,0.4134535789489746
SGD,52,16,0.0085433525873988,83,0.4455895721912384
RMSprop,51,28,0.008300166694413,83,0.09204789996147156
AdamW,32,24,0.0016877571482399,96,0.1323186457157135
Adadelta,60,23,0.0015864266206147,90,2.2101566791534424
Adam,58,22,0.0037080836847501,42,0.06779584288597107
Adamax,51,23,0.0040572871188568,33,0.08850899338722229
Nadam,38,16,0.007077734332043,36,0.10402099788188934
SGD,49,16,0.004166377998025,73,0.6079176068305969
Adadelta,47,18,0.0005620754479021,75,2.2876737117767334
Nadam,35,23,0.0030061301420662,91,0.08856010437011719
RMSprop,46,28,0.0016461061693392,63,0.0925096943974495
Adagrad,43,30,0.0070604606411374,126,0.3730662763118744
SGD,42,26,0.0056015910998867,73,0.5424879789352417
Adamax,54,23,0.0034902585357714,120,0.12609656155109406
Adamax,54,31,0.0056444968789444,69,0.08177023380994797
RMSprop,49,31,0.0082512537904052,111,0.08348587155342102
SGD,33,31,0.0081487320502792,82,0.47815513610839844
Adamax,63,29,0.0013781494075953,69,0.15644535422325134
Adam,34,27,0.0040429093254483,120,0.08967949450016022
Nadam,34,20,0.0054949895471647,119,0.09228067100048065
RMSprop,50,17,0.0051749136041721,109,0.07634879648685455
Adamax,58,18,0.0070803927038349,87,0.07917742431163788
Adamax,59,27,0.0007436266864928,91,0.2230946272611618
SGD,39,16,0.0082871026902794,80,0.43139585852622986
Nadam,59,16,0.0099033768108619,91,0.07615549117326736
RMSprop,55,21,0.0007217825832715,95,0.1377646028995514
SGD,40,21,0.0063295546553464,70,0.5092248916625977
SGD,37,25,0.0029060911493484,121,1.518829584121704
Adagrad,44,18,0.0018087743297066,84,0.8972105383872986
Adam,36,22,0.0022060142742116,64,0.08831392228603363
Adadelta,49,29,0.0076691074845567,84,1.5504978895187378
Adadelta,38,27,0.0042979470130893,54,1.8236522674560547
Adadelta,59,27,0.0005835008946068,118,2.2663536071777344
Adam,46,30,0.0046647663804978,43,0.08261609077453613
Adamax,48,23,0.0053036087191844,57,0.10037021338939667
AdamW,43,26,0.0069327311625419,105,0.08101755380630493
AdamW,33,31,0.0074577966051132,92,0.0908927172422409
Adamax,33,17,0.0025126149943564,122,0.19578589498996735
RMSprop,50,20,0.0061314477798355,40,0.11186263710260391
Adagrad,38,18,0.0008480556496175,93,1.671056866645813
AdamW,47,27,0.0078713970829039,106,0.0764566957950592
Adamax,34,19,0.0011480014513505,37,0.19859068095684052
Adam,43,17,0.0079992443900449,79,0.0868668258190155
AdamW,53,22,0.0003275664998062,118,0.21809470653533936
RMSprop,63,21,0.0061074092366254,94,0.07115060836076736
Nadam,52,26,0.0084877316617402,53,0.08916238695383072
Adagrad,54,21,0.0084783145714908,111,0.32847610116004944
RMSprop,61,19,0.0099084261384909,98,0.08544439822435379
SGD,58,29,0.0028617965681351,47,0.5676290392875671
Adadelta,58,16,0.006203308668764,47,1.620286464691162
Adagrad,34,22,0.0097976733326899,88,0.3332211971282959
Adamax,34,29,0.0032400330325698,36,0.12648484110832214
Adamax,63,29,0.0077998558873561,76,0.0738663524389267
Adagrad,37,22,0.0037284913132379,121,0.49611589312553406
Nadam,35,20,0.0009663792601446,91,0.14233466982841492
Adagrad,54,17,0.0052966516124044,88,0.4016956388950348
Adamax,62,26,0.0091321804577342,94,0.07402533292770386
Adam,33,23,0.000943318048758,40,0.11424893885850906
Adadelta,63,18,0.0008298646680592,76,2.253643274307251
Adagrad,36,28,0.0048801816962457,36,0.33038249611854553
Adam,46,28,0.0005560962388077,38,0.12744472920894623
Adam,46,19,0.0087163009585576,80,0.08766014128923416
Adagrad,37,22,0.0001783804485413,114,2.237915277481079
