Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adagrad,34,29,0.000134821061016,125,2.2871851921081543
AdamW,40,31,0.009136726970345,99,0.08414147049188614
AdamW,55,23,0.0092636049056039,34,0.10214854031801224
AdamW,56,29,0.0008933583747352,40,0.08945325762033463
SGD,42,25,0.0077378803322471,66,0.40971359610557556
Adam,57,20,0.0042453704702382,115,0.06852118670940399
SGD,54,28,0.0033852915870755,64,0.730344831943512
Adam,37,19,0.0046731909269675,108,0.08844252675771713
Adagrad,50,19,0.0071722722247257,81,0.3417328894138336
SGD,56,20,0.006382016477372,84,0.5103082060813904
Adadelta,55,23,0.0059721420835321,85,1.6065568923950195
Adadelta,58,23,0.0095844931190648,116,1.4146792888641357
Nadam,54,16,0.0025646694028925,59,0.07344603538513184
Adadelta,44,16,0.0033275131041819,76,2.134913444519043
SGD,40,18,0.0072797222372054,119,0.6107072830200195
Adagrad,47,28,0.0020854185847428,113,0.7705068588256836
Adagrad,41,27,0.0089140299956464,42,0.2550756335258484
Nadam,34,30,0.0089376423831034,85,0.08779008686542511
Nadam,43,21,0.0061847098317213,103,0.08190307021141052
Adagrad,41,20,0.0099936836631512,44,0.2550380229949951
Adam,38,30,0.0092862912753779,115,0.08404882997274399
AdamW,54,28,0.0015833978565928,62,0.07610896229743958
Adadelta,54,24,0.0008817052100303,78,2.261249542236328
Adamax,32,22,0.0083449582959883,57,0.10760170966386795
Adam,36,29,0.0034499638627055,55,0.08096308261156082
Adamax,33,17,0.0093326335168004,84,0.11395024508237839
Nadam,50,20,0.0020049438104958,97,0.0844302847981453
AdamW,36,25,0.0032318908470671,103,0.09396055340766907
RMSprop,50,25,0.0023243876011817,70,0.07810039073228836
Adadelta,63,25,0.0072867605795528,103,1.6866199970245361
Adamax,57,29,0.0091036719096512,109,0.07552322000265121
Nadam,42,27,0.0088147082149323,100,0.07210608571767807
Adadelta,54,27,0.0071923664063942,75,1.3394243717193604
SGD,34,21,0.0020474572052597,65,1.229093313217163
Nadam,32,25,0.0074852620121436,43,0.10178600996732712
SGD,63,31,0.0070093361774337,126,0.5793658494949341
Adadelta,60,23,0.0093082951085546,57,1.0979044437408447
Adadelta,32,22,0.0050809669374981,122,2.0323376655578613
Adagrad,40,29,0.0067366531703898,58,0.31229135394096375
Adam,60,18,0.0093382571241768,115,0.07339617609977722
AdamW,33,20,0.0088554136395124,122,0.09395912289619446
SGD,50,19,0.0003341256688392,78,2.251227378845215
Adadelta,50,31,0.0061325570980811,63,1.5684571266174316
Adadelta,47,19,0.0083335377901033,114,1.6792865991592407
Adam,54,16,0.0020577808950445,54,0.08161741495132446
SGD,48,26,0.0071669507786111,115,0.5729486346244812
Adamax,61,17,0.0013576511957223,121,0.19156870245933533
Adamax,55,16,0.0044907908434062,77,0.11179063469171524
Adadelta,41,29,0.0076980902161924,73,1.5218894481658936
AdamW,61,23,0.0097396425016192,72,0.08643513917922974
Adam,47,23,0.0006219543242458,75,0.14494343101978302
Nadam,60,26,0.0035706914961783,110,0.0630604699254036
SGD,42,16,0.0068515624453374,121,0.6282479763031006
Adagrad,50,18,0.0021994896122355,93,0.7282279133796692
SGD,50,25,0.003981189370934,69,0.5739988684654236
