Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adagrad,52,18,0.0026954401858193,81,0.5658940076828003
Adadelta,60,30,0.0045480144911442,78,1.8058786392211914
SGD,57,25,0.0026170257152002,117,1.3664820194244385
Adamax,57,30,0.0007137179206075,115,0.23497766256332397
RMSprop,61,25,0.0087775343531347,95,0.08814975619316101
Adam,50,28,0.0079155161424984,46,0.09166975319385529
Adadelta,55,20,0.0031063746431152,111,2.0831189155578613
RMSprop,51,18,0.0023328712447727,66,0.08570639044046402
Adadelta,32,18,0.00748827716749,123,1.900771141052246
Adam,51,18,0.0035216384670632,107,0.0757853165268898
SGD,34,28,0.0004642454024701,64,2.1882684230804443
AdamW,62,30,0.0031245192714058,94,0.06736546009778976
SGD,42,29,0.0001667567985506,83,2.273444175720215
AdamW,52,23,0.0028012649257,97,0.07430772483348846
Nadam,39,24,0.0015805762162995,53,0.09232758730649948
SGD,37,26,0.0070163178914042,34,0.318586140871048
Adadelta,60,25,0.0074112632199368,103,1.5977096557617188
RMSprop,60,16,0.0007406890776955,72,0.12366901338100433
Adam,39,28,0.0036415386778901,127,0.08501927554607391
Adagrad,39,18,0.0060650792650562,52,0.34320542216300964
SGD,53,16,0.0065109647733445,39,0.36784419417381287
AdamW,33,17,0.0008041040468085,36,0.13423041999340057
SGD,54,23,0.0008493437687211,49,1.690967321395874
Adamax,35,31,0.0046124686700623,65,0.11692864447832108
Adagrad,58,28,0.0006370944515081,74,1.5275990962982178
AdamW,52,23,0.0066070718735868,108,0.07566908001899719
SGD,57,26,0.0027573237826868,52,0.6588064432144165
RMSprop,54,16,0.0089200033479366,109,0.08346492797136307
Adadelta,58,18,0.0052983246227571,38,1.7361884117126465
AdamW,63,23,0.0039204971640617,61,0.06430279463529587
SGD,56,22,0.0093687942885503,38,0.29680606722831726
Adamax,42,30,0.0096499186646242,37,0.07664632797241211
Adam,54,22,0.000511498391493,122,0.18297143280506134
Adadelta,44,21,0.0009455144689164,98,2.257704496383667
Adam,60,24,0.0089152445659015,73,0.07978081703186035
Adam,34,26,0.0026067291469649,41,0.08578886091709137
AdamW,34,25,0.0065193784743045,38,0.11316091567277908
Nadam,39,18,0.0043684086968137,52,0.0804431140422821
Adagrad,40,16,0.0011191895220974,73,1.0992543697357178
RMSprop,49,23,0.0045353922795599,75,0.08184965699911118
Adagrad,40,26,0.0077196778973191,53,0.2976452708244324
Nadam,38,22,0.0052490673623461,42,0.08474811166524887
Adagrad,61,29,0.0010301916084479,62,1.019178867340088
SGD,62,18,0.0036300148017158,112,1.2140692472457886
SGD,63,21,0.0080499516126253,126,0.5494537949562073
SGD,33,23,0.0040908924473989,105,1.222108244895935
SGD,43,21,0.0023515401671762,45,0.7472785711288452
SGD,41,19,0.009755889085425,78,0.40630748867988586
AdamW,61,22,0.0075699776063651,105,0.07017916440963745
Adagrad,47,24,0.0098512202955247,89,0.31058740615844727
Adagrad,48,17,0.0066298670438938,43,0.30272376537323
RMSprop,41,27,0.0007834900665285,69,0.14848674833774567
Nadam,55,29,0.0035027194664506,82,0.06569332629442215
RMSprop,61,17,0.0010059403711343,48,0.10647221654653549
AdamW,58,22,0.0083031097424227,79,0.0780218094587326
Nadam,51,28,0.0008972493396079,89,0.10937537252902985
AdamW,54,21,0.0062210730893738,104,0.07312671840190887
RMSprop,57,24,0.0076631022086187,99,0.08193176984786987
Adam,56,26,0.008796073031107,74,0.08084407448768616
AdamW,34,19,0.0019724477544357,125,0.11625123769044876
Adagrad,37,18,0.00131339247645,77,1.217704176902771
SGD,35,23,0.0062920629726392,65,0.44208574295043945
Nadam,42,18,0.009074884103268,43,0.10125739872455597
Adadelta,47,23,0.0067384265554885,40,1.269998550415039
Adagrad,49,20,0.0018678010593301,63,0.6232163906097412
AdamW,39,16,0.0075554373941247,46,0.10054051131010056
SGD,44,17,0.0069337109013193,51,0.40496689081192017
SGD,43,30,0.0061297287127842,45,0.3847843408584595
Adadelta,34,26,0.0011056759516297,41,2.219374418258667
Adamax,55,31,0.0020960606811233,122,0.1560000479221344
RMSprop,51,26,0.0007826174954461,121,0.14623430371284485
SGD,45,22,0.0049421642990093,45,0.403451144695282
SGD,60,30,0.0018013398229438,120,1.8611050844192505
RMSprop,63,22,0.0085091694238493,123,0.0759505182504654
Adagrad,59,17,0.0050423585714855,89,0.40188202261924744
Nadam,51,31,0.0056033502473672,108,0.06585663557052612
Adam,62,28,0.0011866551969047,86,0.09190405160188675
Nadam,47,28,0.0036658252428853,91,0.06932791322469711
Adagrad,40,26,0.0007959524241353,116,1.910233974456787
Adagrad,48,29,0.0030895371157751,76,0.438088983297348
AdamW,52,27,0.0066237228068923,46,0.08485625684261322
RMSprop,50,25,0.0041237810252819,103,0.07858428359031677
Adam,41,28,0.0056149051371679,57,0.08664177358150482
Adamax,50,20,0.0090343323972182,57,0.08708763867616653
Nadam,41,26,0.0028387678664992,126,0.0862703025341034
Adam,41,27,0.002935438270597,65,0.07602469623088837
Nadam,44,21,0.0091830096343596,68,0.09175392240285873
SGD,62,25,0.0086972406621066,34,0.29936346411705017
Adamax,60,21,0.0085598056781991,113,0.0838107243180275
SGD,63,17,0.0050006919673241,33,0.35908034443855286
Adamax,37,26,0.006618041389241,53,0.1000179871916771
