Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
SGD,52,31,1.000385630802676,47,0.2557913362979889
Ftrl,56,28,1.009051906666235,42,2.3025646209716797
Adagrad,49,32,1.0018570715290993,105,2.30257511138916
Adadelta,52,26,1.0058610867907793,72,0.09088822454214096
Ftrl,43,29,1.001661028729375,65,2.3026187419891357
Adadelta,56,23,1.0003980112987179,103,0.09997782111167908
Adadelta,61,31,1.0012764285953382,93,0.08975834399461746
SGD,58,28,1.0080284108567044,76,0.23141683638095856
Adadelta,38,23,1.0068933326423473,113,0.1241828054189682
SGD,44,29,1.009909421399534,118,0.1963462233543396
Adadelta,52,17,1.0062996180883788,73,0.09921412169933319
Adadelta,48,22,1.0011852049747256,40,0.09230219572782516
Adadelta,46,22,1.003694709648303,96,0.1090453565120697
Adamax,53,22,1.0023330628129474,71,1.7840971946716309
Adadelta,59,27,1.0031629586151065,70,0.09063099324703217
SGD,53,29,1.0042977465998488,85,0.30031952261924744
SGD,52,28,1.0043231748777992,85,0.26732268929481506
Adadelta,62,29,1.009137380625537,106,0.09448964148759842
Ftrl,36,24,1.0069790339647595,86,2.302536725997925
Adadelta,46,29,1.000427906183569,126,0.1070617288351059
Adadelta,62,18,1.0031609529159071,51,0.08347146213054657
SGD,42,31,1.0064616717961627,84,0.17660675942897797
Adadelta,40,30,1.007892356492178,45,0.1004161387681961
Adadelta,35,30,1.0026575910166333,121,0.12085390090942383
SGD,44,31,1.0025447540690555,33,1.993575096130371
Adagrad,63,25,1.0076146917019866,96,0.8790389895439148
Ftrl,47,19,1.0096827622826137,86,2.3025941848754883
Adadelta,33,22,1.0030678310895436,92,0.13212896883487701
SGD,56,20,1.0084851435665894,102,0.2747674584388733
Adadelta,57,30,1.0044219943362567,92,0.09649109840393066
Adadelta,45,23,1.0054324485938417,91,0.1004321500658989
SGD,55,16,1.007368462964314,101,0.21910418570041656
SGD,43,29,1.0052636368353116,117,0.20942029356956482
Adadelta,59,16,1.0034461612536933,124,0.1127137690782547
Adadelta,62,22,1.0005581553537093,105,0.0914561003446579
SGD,45,26,1.0023113589391306,37,1.9252558946609497
Adadelta,38,27,1.0100483686542223,59,0.10647440701723099
Adadelta,39,20,1.0022983496062075,57,0.11345182359218597
Adadelta,52,31,1.0004509056184108,128,0.10488876700401306
Adadelta,63,23,1.005670251629696,100,0.09311944991350174
SGD,61,31,1.0016294394374645,79,0.258291631937027
Adadelta,37,19,1.0084505810471722,62,0.11575114727020264
Adadelta,54,18,1.008161134692541,62,0.09674310684204102
