Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adadelta,60,31,1.0024914180400895,70,0.08295485377311707
Adadelta,33,18,1.0095845720101866,47,0.1198437288403511
Adamax,45,23,1.0009206539715911,93,2.145416736602783
Adadelta,45,20,1.0053958222761405,94,0.10455869138240814
Adadelta,61,29,1.0068107266851798,98,0.08948259055614471
Adadelta,49,20,1.00630379449447,103,0.10209917277097702
Adadelta,55,25,1.0001760947471285,98,0.09376939386129379
Adadelta,56,16,1.0071807137729416,107,0.10117688030004501
Ftrl,46,17,1.007166363162079,114,2.3024539947509766
Ftrl,43,17,1.0015782419248105,116,2.3028268814086914
Adadelta,45,28,1.0098994691244143,65,0.09917020052671432
Adadelta,44,29,1.0064665986915264,107,0.10817845165729523
Adadelta,50,31,1.008903077055977,108,0.10667923092842102
Adadelta,61,32,1.0019145129280023,66,0.07786735147237778
SGD,39,20,1.0092068489561836,54,1.616492748260498
SGD,44,16,1.0090920603932114,94,0.2444867491722107
SGD,39,32,1.0044065389163868,49,1.5800083875656128
Adadelta,43,25,1.0052306187176654,42,0.09807882457971573
Adadelta,63,20,1.002483453162793,68,0.09139487147331238
SGD,35,22,1.0017037703308689,74,0.8690035343170166
Adadelta,56,28,1.006065144784229,114,0.093645378947258
SGD,38,22,1.0018516219309201,86,0.4589771032333374
Adadelta,50,26,1.0079623398284412,107,0.10213875770568848
Adadelta,47,22,1.0005315916606128,121,0.11750353127717972
SGD,58,27,1.000339665366742,59,0.17436392605304718
Adadelta,59,22,1.0074378445964767,87,0.1004091426730156
Adamax,50,26,1.0017377726485568,50,1.9399739503860474
SGD,49,17,1.0061248489184793,105,0.21549643576145172
SGD,43,28,1.0089414540375057,63,0.21365748345851898
Adadelta,43,31,1.0013778564514249,67,0.09833540767431259
Adadelta,48,31,1.0016584493773124,96,0.09856092184782028
Adagrad,42,22,1.001338997106903,62,2.302553176879883
Ftrl,46,17,1.0054955981644875,88,2.3026459217071533
Ftrl,54,18,1.00884521425713,59,2.3026111125946045
Ftrl,36,18,1.0045317076800608,89,1.2700368165969849
SGD,33,22,1.0043783154449561,121,0.6079724431037903
Adamax,38,18,1.0029842280266927,107,1.7009159326553345
Adadelta,44,23,1.0069425494974673,124,0.1124676838517189
Ftrl,63,20,1.0080489038771112,105,2.302539110183716
Ftrl,52,19,1.0043093396938159,117,2.302830934524536
SGD,62,17,1.0080839192546163,50,0.19142359495162964
Adagrad,47,32,1.0076544187227643,33,2.302464246749878
Adadelta,35,29,1.0068988718769967,33,0.1026289090514183
SGD,52,22,1.0082750507826752,115,0.17822879552841187
Ftrl,51,24,1.0065315653458513,126,2.302682638168335
Adadelta,52,26,1.004961874899773,116,0.10299967229366302
Adamax,56,17,1.0063460894000489,108,2.3238258361816406
Ftrl,33,20,1.006760142922265,35,2.3027145862579346
Adadelta,45,30,1.0006124978219486,105,0.10706572979688644
Adamax,62,17,1.0051249833519096,44,1.8606770038604736
SGD,61,22,1.007527144060172,83,0.2210354208946228
Adagrad,49,24,1.0010556523710963,82,2.302565574645996
SGD,48,26,1.0088963262030715,61,0.9352009892463684
Adamax,44,21,1.0023692990553692,125,2.320909023284912
Adadelta,51,27,1.0018755247441589,46,0.0863499864935875
Adadelta,58,19,1.0063205526717969,36,0.08242988586425781
SGD,36,22,1.0010664835135983,67,0.4514840543270111
Ftrl,45,18,1.002233944357027,125,2.3024303913116455
Adadelta,61,30,1.0015900098823247,74,0.08532100170850754
Adadelta,35,28,1.0028800092187407,96,0.1123395785689354
SGD,47,29,1.000794970306134,107,0.2266455739736557
SGD,58,24,1.0086427222685237,114,0.18540261685848236
Ftrl,43,26,1.0072252355739897,124,2.30263352394104
SGD,50,18,1.0057061691561981,127,0.1771153062582016
Adadelta,54,17,1.0072178253801325,65,0.09103401750326157
