Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
SGD,49,23,1.0037225876660416,71,1.0115097761154175
SGD,47,21,1.0079174705935248,103,0.19818052649497986
SGD,34,31,1.007775538724681,113,0.25864580273628235
Adadelta,38,17,1.007403296581436,116,0.11974189430475235
Adadelta,53,29,1.000733876190033,120,0.09552306681871414
Adagrad,63,28,1.0043637974295863,51,2.3027398586273193
Adagrad,49,24,1.0085002025476142,80,2.3025403022766113
Adadelta,63,18,1.0042554318287331,41,0.07748521119356155
Adadelta,36,22,1.0084580902462745,72,0.1136193498969078
Adadelta,45,28,1.008285922320451,71,0.1021500825881958
SGD,62,23,1.0015546412913283,103,0.1685423105955124
Adadelta,59,23,1.0098557235685863,67,0.08891293406486511
SGD,55,31,1.002040316874873,96,0.14296607673168182
Adagrad,47,30,1.0047122602569214,73,2.3024256229400635
Nadam,46,32,1.0048630290344944,128,2.3252391815185547
Ftrl,40,17,1.0026489127295601,82,2.3026881217956543
Adadelta,45,20,1.0093379025558713,34,0.09393326193094254
Adadelta,52,30,1.0062972430201744,84,0.09019262343645096
Ftrl,53,24,1.0001512986395253,123,2.3024942874908447
Adadelta,59,19,1.001969011829816,120,0.10375367105007172
Adagrad,54,16,1.0081130563981233,47,2.3026976585388184
Adagrad,53,16,1.0048488434420426,98,2.302604913711548
Adadelta,57,30,1.0035141642897096,70,0.08719341456890106
Adadelta,59,23,1.0047200676526062,90,0.09567125141620636
Ftrl,61,20,1.0094318147482,103,2.30265212059021
SGD,52,18,1.0029909784217959,42,0.5143893361091614
Ftrl,40,27,1.004408976592155,111,1.3307684659957886
Adadelta,42,21,1.0007541102680697,89,0.12193350493907928
Adamax,36,27,1.0068389330643635,69,2.1589436531066895
Adadelta,58,19,1.005442743562834,45,0.08818870782852173
Adadelta,56,18,1.0092804558712534,95,0.09912165999412537
Adamax,41,21,1.001100293215188,88,2.3258056640625
Adadelta,54,28,1.0041876651263706,120,0.1039295569062233
Adadelta,36,19,1.0098786401752393,117,0.12586961686611176
Adadelta,33,19,1.0087696730049014,41,0.11636865884065628
Adadelta,35,17,1.007249869955694,61,0.11713077872991562
Ftrl,58,27,1.0081515052427763,101,2.3026645183563232
Ftrl,57,25,1.0035054032133748,83,2.302640199661255
Adadelta,58,29,1.0022054195019325,33,0.08215520530939102
Adadelta,63,22,1.000434083152057,41,0.07690812647342682
Ftrl,51,23,1.0053668879482274,110,2.302633047103882
Ftrl,58,25,1.0086982497652939,116,2.302544116973877
Adadelta,41,26,1.0082638682837035,75,0.10382553935050964
Adadelta,60,31,1.0032502623142796,34,0.077922023832798
Adadelta,45,32,1.005263095546667,123,0.10211239755153656
SGD,63,29,1.0034785209854502,113,0.28796064853668213
Adadelta,53,23,1.0033620894127115,128,0.10103759169578552
SGD,39,22,1.0085995035284245,121,0.3126787543296814
SGD,61,24,1.0058350933361342,55,1.365096926689148
Adagrad,62,29,1.008021524297933,126,2.302618980407715
Adagrad,41,32,1.0052115677728573,37,2.302755355834961
Adadelta,51,30,1.0057235442938952,71,0.09379442036151886
Adadelta,54,23,1.0059461279170077,32,0.08331004530191422
SGD,58,19,1.004917841242138,48,0.3405737578868866
Adadelta,50,25,1.0092665163135357,40,0.08740093559026718
Adadelta,57,16,1.0013936031047548,53,0.08484847843647003
SGD,35,18,1.005821789849386,71,1.5297094583511353
Adagrad,41,20,1.0040509506563993,37,2.3028972148895264
Ftrl,42,28,1.0061554821736043,124,2.3025035858154297
SGD,63,31,1.0073373029186503,73,0.17552027106285095
Adamax,35,23,1.001050962759129,106,2.3224129676818848
Ftrl,40,30,1.0017602343186947,56,2.302699565887451
Adadelta,44,30,1.0085673837751572,108,0.10011857002973557
Adadelta,41,16,1.0064714772333707,66,0.11861945688724518
Adadelta,53,16,1.0045881790876714,124,0.1062178984284401
Adadelta,43,30,1.0036484981194875,83,0.1052698865532875
SGD,44,18,1.0012759748876303,80,1.8406322002410889
Adagrad,60,18,1.0015181913467581,59,2.3025898933410645
Adagrad,60,16,1.0081891765370317,113,2.30256986618042
Ftrl,52,24,1.0019236708027577,95,2.3024299144744873
SGD,35,30,1.0079246469690768,112,1.7229608297348022
Adadelta,59,29,1.004892382008154,35,0.07611235976219177
SGD,42,24,1.0035103883884129,78,0.19861218333244324
Adadelta,56,25,1.0088366548242917,99,0.09619598835706711
Adadelta,32,24,1.0097331633578357,104,0.13370127975940704
Adadelta,52,21,1.0029260912792397,86,0.09874039888381958
SGD,58,31,1.0044752427208519,84,0.21859537065029144
SGD,35,28,1.0007700897996157,44,1.6804745197296143
Adadelta,47,18,1.0028039553735573,116,0.11447900533676147
SGD,41,21,1.0087504650735921,126,0.22004684805870056
Adadelta,62,19,1.0079977952755341,50,0.08940695226192474
Adamax,35,18,1.004911100991383,111,2.0185606479644775
Adadelta,42,25,1.005836804250211,113,0.11390485614538193
Adadelta,43,23,1.0072687075692084,108,0.11153404414653778
Adadelta,40,29,1.0045151220414539,77,0.11061686277389526
Adadelta,57,20,1.0087593464237712,114,0.0978236198425293
SGD,35,22,1.0021754527936149,42,1.7233318090438843
Adadelta,64,26,1.0060877968401847,66,0.07972829043865204
SGD,43,29,1.0008069967600761,98,0.8567939400672913
SGD,51,28,1.003050776446925,73,0.5863365530967712
SGD,57,20,1.004227455409955,50,0.6050835847854614
Ftrl,62,21,1.0041950694564246,35,2.3027122020721436
Adadelta,42,20,1.0074280441795855,43,0.09980934858322144
Adadelta,40,28,1.005838150759471,94,0.10708476603031158
Adamax,39,30,1.006869474770997,83,2.0393126010894775
Ftrl,45,31,1.0096401688720025,95,2.3026082515716553
Adadelta,34,32,1.0033706989457114,98,0.11222054064273834
Adadelta,64,26,1.0098627946988123,70,0.0805312916636467
Adagrad,34,31,1.0041574334449,53,2.3026931285858154
Adadelta,38,28,1.0032057978921327,82,0.11048126965761185
