Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
4,24,2,25,2,34,20,1.003643,38,0.036910779774188995
6,23,2,21,2,34,23,1.000159,95,2.3235135078430176
0,30,2,24,1,39,31,1.008844,128,2.3031954765319824
4,27,3,17,1,34,18,1.006971,96,0.04993496835231781
5,29,2,27,2,44,18,1.003755,119,2.302556037902832
4,24,3,18,2,34,31,1.007595,105,0.03823430463671684
0,18,3,24,1,46,31,1.006525,118,2.303016424179077
5,31,2,25,2,34,23,1.006042,123,2.3027751445770264
8,25,3,27,1,48,21,1.004144,82,2.3025548458099365
8,22,2,29,2,50,19,1.003152,45,2.3026974201202393
5,31,2,28,2,52,17,1.008287,104,2.3026585578918457
4,20,2,31,2,58,29,1.006865,36,0.028637468814849854
5,18,2,17,3,35,30,1.003588,118,2.3025317192077637
4,17,1,30,3,38,21,1.002114,37,0.04959947615861893
4,20,3,31,2,51,30,1.004494,59,0.027557771652936935
8,25,3,28,3,33,17,1.004966,86,2.3024539947509766
4,24,2,31,3,53,29,1.005083,85,0.035410404205322266
4,29,1,31,3,40,23,1.005269,95,0.0522448904812336
4,28,1,21,2,61,17,1.007926,123,0.07907094061374664
4,29,3,27,1,57,18,1.005608,51,0.032942235469818115
8,19,2,25,2,59,28,1.009469,39,2.3026647567749023
7,24,3,20,1,39,22,1.009461,126,2.3272194862365723
8,28,1,19,2,41,32,1.004083,55,2.302482843399048
8,20,1,24,3,34,30,1.003898,107,2.3025903701782227
8,18,2,29,1,50,22,1.006243,124,2.302698850631714
0,21,2,20,2,46,19,1.002452,34,2.308206558227539
4,25,2,30,3,37,19,1.008518,64,0.03461617976427078
4,26,1,18,1,38,17,1.003346,54,0.22709789872169495
4,28,3,18,2,55,29,1.004465,46,0.03111076168715954
5,21,2,25,3,34,18,1.009191,93,2.302777051925659
5,24,2,31,1,35,30,1.009431,54,2.302581310272217
4,19,2,26,2,36,17,1.005027,52,0.03800265118479729
4,32,2,24,1,52,17,1.004435,51,0.0459308847784996
4,24,3,19,2,43,27,1.006289,46,0.0322139598429203
0,16,3,24,2,57,25,1.00323,79,2.3042244911193848
8,29,1,20,2,64,27,1.006872,119,2.302734851837158
4,27,2,24,2,57,20,1.003302,65,0.035125281661748886
4,21,2,29,3,47,26,1.007265,104,0.03904888778924942
8,30,1,30,3,47,21,1.005278,33,2.3026211261749268
6,21,2,30,2,43,21,1.00216,39,2.3385989665985107
4,28,2,22,1,51,31,1.000978,116,0.054980624467134476
4,18,3,32,1,57,25,1.001695,79,0.03766424581408501
4,19,3,18,2,40,17,1.007388,39,0.03578345105051994
5,26,2,18,1,50,25,1.004584,64,2.3026700019836426
4,27,1,18,3,60,29,1.006345,87,0.05170152708888054
6,19,1,17,2,63,28,1.005716,115,2.328035831451416
5,31,3,24,2,60,18,1.004774,41,2.302609920501709
4,16,2,22,2,59,28,1.001674,73,0.03913073241710663
8,18,3,27,2,34,28,1.005702,120,2.302570343017578
7,29,3,25,2,60,23,1.0027,82,2.3329854011535645
8,32,1,26,1,54,23,1.000756,84,2.3025965690612793
4,20,1,31,1,35,23,1.00332,112,0.2678753733634949
5,25,1,18,3,38,30,1.004995,62,2.302690029144287
5,18,1,20,1,57,21,1.000435,39,2.3027241230010986
4,16,2,21,1,39,29,1.006639,84,0.05879545211791992
4,25,3,19,1,37,29,1.000871,37,0.04059510678052902
5,18,3,25,2,42,22,1.003383,36,2.3024697303771973
4,27,3,21,2,52,30,1.004462,65,0.028205202892422676
5,28,2,29,2,41,19,1.004185,35,2.3026719093322754
6,19,2,18,2,51,22,1.002242,99,2.319931745529175
4,17,2,19,2,41,18,1.005715,115,0.0484909825026989
8,30,2,30,2,41,22,1.000468,79,2.3025147914886475
6,23,2,31,1,47,20,1.002089,87,2.326803684234619
5,20,3,20,3,36,24,1.007321,106,2.3026816844940186
8,27,2,18,1,64,31,1.009764,108,2.3027119636535645
4,19,1,22,1,59,25,1.001373,116,0.2445327788591385
4,19,3,16,3,47,18,1.001077,73,0.03656899183988571
8,21,3,30,2,36,23,1.007624,112,2.3026411533355713
4,27,2,25,3,60,18,1.007851,67,0.03557581081986427
4,27,3,22,2,58,25,1.003747,77,0.02986723743379116
6,26,1,26,3,52,29,1.009806,60,2.331129789352417
8,16,3,25,2,32,30,1.007731,40,2.3026480674743652
5,30,3,23,2,47,20,1.005788,42,2.3026223182678223
5,17,1,32,3,41,17,1.002245,123,2.302846670150757
4,25,2,23,2,49,29,1.005917,111,0.042311348021030426
4,24,3,26,2,38,22,1.002856,122,0.03506363928318024
4,20,2,25,1,43,26,1.00301,86,0.058981165289878845
4,20,2,27,2,34,17,1.002952,53,0.04156796634197235
4,32,3,19,2,59,21,1.007208,90,0.03528657183051109
8,20,2,17,3,45,20,1.000695,53,2.302635669708252
5,26,2,29,3,57,20,1.005639,63,2.302809476852417
4,22,2,22,2,50,27,1.006748,55,0.03511900082230568
8,18,3,25,2,60,23,1.008897,45,2.3026890754699707
5,20,2,25,2,61,18,1.003747,108,2.3024795055389404
4,20,2,18,2,59,24,1.000161,110,0.04283687844872475
4,26,3,22,1,43,28,1.002134,83,0.04361962899565697
5,25,2,17,3,40,23,1.001275,42,2.302736282348633
4,24,1,31,3,43,31,1.000365,87,0.0492529422044754
4,19,2,28,3,47,23,1.001797,125,0.042345933616161346
8,16,2,17,2,59,28,1.003471,97,2.302799701690674
4,32,3,19,3,40,29,1.007346,79,0.0355926975607872
8,19,1,21,3,56,17,1.008622,77,2.3026695251464844
4,30,1,19,2,61,28,1.000855,33,0.05813593789935112
4,23,2,18,3,52,30,1.005806,118,0.0454564206302166
4,16,1,29,2,44,32,1.000983,39,0.06489665061235428
0,22,2,29,2,36,26,1.000489,83,2.3041489124298096
0,21,2,23,3,40,25,1.000804,127,2.3030591011047363
5,20,1,21,3,35,29,1.00403,114,2.302668571472168
4,25,2,29,1,39,26,1.008269,41,0.04717135801911354
8,27,2,23,2,53,17,1.001594,107,2.3025472164154053
