Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Nadam,16,2,18,1,49,31,0.0044020325685163,50,0.04610005021095276
SGD,18,2,20,2,58,29,0.0020292629982199,99,0.5942015647888184
RMSprop,24,1,27,1,37,25,0.0091697161234655,41,0.39566025137901306
Adamax,22,2,16,1,36,21,0.0039188595740717,102,0.07131382077932358
Nadam,23,2,28,1,38,23,0.0057852456068761,114,0.046049755066633224
Adagrad,20,1,16,2,62,21,0.0023874750606568,96,0.47596731781959534
RMSprop,20,1,18,1,53,31,0.0095149008869669,95,0.22781015932559967
Adadelta,18,2,21,1,58,31,0.0069776012798051,108,1.2898942232131958
RMSprop,21,1,20,2,58,23,0.0035793455088294,116,0.0528872013092041
SGD,30,2,26,2,53,19,0.0010164342202256,96,1.6490997076034546
Nadam,18,2,24,1,36,23,0.0071999222104538,61,0.053131796419620514
Adagrad,22,1,25,2,62,19,0.0037603646892423,91,0.3071451485157013
SGD,29,2,23,2,61,25,0.0017450224039854,55,0.39376702904701233
SGD,21,1,23,2,42,19,0.0016556207831743,86,1.1323480606079102
RMSprop,28,2,31,1,54,28,0.0014644832938337,123,0.04229239001870155
Nadam,31,2,29,2,34,21,0.0005353504625486,50,0.057710953056812286
RMSprop,16,1,27,1,57,24,0.0018638753993769,90,0.2524837255477905
Adagrad,21,1,17,1,34,17,0.0094118104089044,117,0.4560818672180176
Nadam,28,1,19,2,45,31,0.0080863307662126,121,0.060404904186725616
Adam,26,1,31,2,39,20,0.0080365245008612,35,0.08416274935007095
SGD,25,1,19,2,32,29,0.0079634408539174,89,0.3275145888328552
SGD,22,2,25,1,38,30,0.0054019660727236,59,0.4018813371658325
Nadam,27,2,22,2,42,25,0.0059790616205147,94,0.03321610391139984
Nadam,30,2,22,2,34,16,0.0011168160848046,84,0.05216958373785019
AdamW,19,1,19,2,46,22,0.0077407205910403,55,0.06999923288822174
Adamax,21,1,31,1,45,20,0.0078151439837392,73,0.21710698306560516
Adam,27,1,28,1,57,30,0.0065902170888194,51,0.3078925907611847
Adadelta,25,2,25,1,39,30,0.0044046657099495,88,2.0886096954345703
SGD,29,1,22,2,33,22,0.0076090943607808,115,0.33806127309799194
Adam,31,2,23,1,50,23,0.0014594576693823,41,0.0447428822517395
Nadam,18,1,22,2,50,30,0.0090557690684892,56,0.07050745189189911
SGD,17,2,16,1,51,24,0.001818002325642,84,1.3872520923614502
Nadam,30,2,17,1,47,18,0.0078305685650037,123,0.045244280248880386
SGD,17,2,17,1,53,30,0.0026766031182713,120,0.7372628450393677
Nadam,16,2,24,1,35,21,0.008274588547231,85,0.059622712433338165
Nadam,27,2,28,2,60,25,0.008062938626016,67,0.04332481697201729
Nadam,19,2,24,2,58,18,0.0080417013213483,97,0.03702427074313164
AdamW,18,2,17,2,52,24,0.0022809795507615,120,0.04606461897492409
Adam,16,2,23,2,53,29,0.0069393189694086,67,0.04211702197790146
SGD,17,1,17,2,51,20,0.0014770325715995,34,0.4002266228199005
RMSprop,26,1,30,2,49,18,0.0002062979740958,68,0.1460711807012558
Adam,21,1,27,1,35,30,0.0018231009472649,126,0.21906131505966187
Nadam,16,2,25,2,32,26,0.0075508254772945,98,0.04128088057041168
Adam,31,2,21,2,44,21,0.0010451139130618,104,0.049445174634456635
SGD,29,2,22,2,45,17,0.0042755411758244,50,0.24297812581062317
Adamax,29,1,28,1,33,28,0.0016285983451483,119,0.32461220026016235
RMSprop,30,2,29,1,51,19,0.0062873493272913,49,0.06390156596899033
SGD,26,2,29,2,33,17,0.0046475536706598,47,0.2566160261631012
Adamax,20,1,25,1,54,21,0.0090556843903428,53,0.19932083785533905
Nadam,27,2,28,2,39,31,0.0023581624277072,98,0.03684442862868309
Adagrad,30,1,31,1,33,17,0.0089500571568925,45,0.3813970685005188
Nadam,20,2,17,2,50,28,0.005762763107588,38,0.045996882021427155
Adam,30,2,26,1,62,24,0.0040305502372,69,0.04205489531159401
SGD,19,2,31,1,62,30,0.0031675554573845,47,0.41359636187553406
Adadelta,26,2,25,2,46,31,0.0034492473496321,118,2.079339027404785
Adamax,29,2,30,2,43,22,0.0050421993903379,65,0.03144383057951927
Adagrad,24,1,20,2,39,24,0.0073769564756896,109,0.2754012942314148
Adadelta,21,1,27,2,36,26,0.0075049507504564,110,1.7510931491851807
Adagrad,26,1,26,2,52,23,0.0050923993111133,96,0.2725006639957428
Adagrad,22,2,23,2,48,25,0.0046262949450874,99,0.22508567571640015
Adamax,17,2,17,2,54,19,0.0003394060785562,69,0.1709842085838318
Adagrad,17,1,16,1,61,18,0.0076109065073195,99,0.45525923371315
RMSprop,28,1,19,2,46,28,0.0070381433070718,53,0.08544118702411652
SGD,31,2,19,1,60,22,0.0090320419625417,61,0.2908613085746765
Nadam,21,1,23,1,40,28,0.0013502327792519,69,0.26285773515701294
Adamax,22,1,27,1,53,27,0.007672301860355,121,0.25547870993614197
Adagrad,25,2,29,1,38,17,0.0059039496317457,93,0.31949737668037415
SGD,16,1,24,1,46,31,0.0038361892729538,111,0.667868435382843
SGD,24,2,21,2,37,28,0.0039866055954069,86,0.3487459421157837
Nadam,29,1,26,1,42,20,0.0073069165958978,84,0.2094109058380127
Adam,30,2,21,2,51,29,0.0062251151110449,66,0.04274239391088486
AdamW,29,1,20,1,55,29,0.0069100015054297,116,0.22800444066524506
AdamW,30,1,18,1,49,24,0.0087849966470527,46,0.2632031738758087
AdamW,25,1,16,1,47,16,0.0080876934471773,117,0.21376419067382812
Adagrad,31,2,30,1,58,17,0.0056692991880276,125,0.40253251791000366
Adagrad,20,2,17,1,38,21,0.0093443592252994,41,0.22029472887516022
Nadam,23,1,31,2,60,21,0.0050442782452232,71,0.05219161510467529
Adadelta,18,2,31,2,60,29,0.0020772701525986,68,2.0490787029266357
Nadam,18,2,24,2,42,21,0.0069931937980555,122,0.03464547544717789
Adadelta,22,2,17,1,36,20,0.0099069401286427,120,1.1548757553100586
Adadelta,27,1,19,2,58,24,0.0057228391088807,74,1.488817572593689
Adamax,27,2,30,2,41,27,0.000222400468377,51,0.17228128015995026
Adadelta,19,1,21,1,47,16,0.009807356637442,49,0.9179685115814209
RMSprop,29,2,17,2,50,23,0.0055486070310396,127,0.0333813838660717
Nadam,26,2,19,2,56,18,0.0075573909179853,83,0.03733508288860321
Adam,30,1,23,2,45,26,0.0043425988127604,118,0.07039237022399902
Adam,28,2,17,1,63,22,0.0089364567457379,67,0.060067448765039444
AdamW,28,1,20,2,38,31,0.0048879812478913,88,0.06849804520606995
Adagrad,30,1,19,1,42,30,0.0025281255728329,99,0.6085185408592224
Adam,17,1,16,2,36,27,0.0027750668038516,68,0.07470665872097015
RMSprop,20,1,16,2,33,17,0.0057166463080859,87,0.06917545944452286
AdamW,21,2,24,1,42,23,0.0073550919661297,65,0.059802114963531494
Adamax,20,2,28,2,32,26,0.005646570681302,35,0.03891238570213318
Adamax,27,1,25,2,52,19,0.0073237830369825,98,0.0785493329167366
SGD,17,1,25,2,54,26,0.0024201326720213,109,0.695734977722168
RMSprop,29,2,18,1,40,22,0.0074364610937789,76,0.06382007896900177
Adadelta,20,2,30,2,35,24,0.0069857088997025,102,1.0795096158981323
Adam,19,2,31,2,47,20,0.009052901242073,98,0.04273511469364166
Adadelta,30,2,21,2,35,25,0.0067096142395323,76,1.323941946029663
Adagrad,20,2,16,2,38,17,0.0006746901074566,48,0.9510898590087891
RMSprop,17,2,31,2,56,29,0.0095537248545563,80,0.0559852160513401
Nadam,21,2,22,1,54,18,0.0012184115824942,127,0.07065509259700775
SGD,30,2,30,2,57,19,0.0073872572284023,64,0.18444055318832397
SGD,29,1,20,2,44,23,0.0054251001074958,64,0.2926419973373413
Adamax,23,2,31,2,48,19,0.0043993937162973,56,0.04400140047073364
Adagrad,18,1,28,1,55,17,0.0024265104556731,75,0.5949946641921997
Adadelta,20,2,21,2,51,31,0.0048893464599509,69,1.3715320825576782
RMSprop,18,1,17,1,62,22,0.007124306728759,89,0.21286681294441223
Adamax,17,1,29,1,39,26,0.0050780251282668,117,0.29032620787620544
Adamax,25,2,26,2,38,28,0.0014987923321045,75,0.06730587780475616
RMSprop,26,1,29,2,50,31,0.0068885350092553,43,0.09298744797706604
Adagrad,26,2,19,2,54,20,0.0039713869276329,102,0.2541641294956207
