Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
AdamW,19,1,17,1,38,22,0.000765073221847,124,0.3397901654243469
Adamax,26,2,20,1,59,22,0.00459660313011,40,0.04391513019800186
Adam,25,1,27,1,40,20,0.0018527678201342,109,0.28425133228302
RMSprop,25,2,16,1,34,22,0.0096603791808738,48,0.10337589681148529
SGD,25,1,17,2,62,17,0.0068911182372705,126,0.36548230051994324
Adamax,18,1,24,2,62,25,0.0004208911895273,113,0.19441762566566467
RMSprop,31,2,29,2,63,18,0.000600981373371,52,0.04445049911737442
Adadelta,30,2,19,1,61,25,0.0008667728336447,111,2.2609896659851074
Nadam,16,2,20,1,33,21,0.0054772056396356,35,0.06461191177368164
Nadam,25,2,26,2,39,28,0.0007189649168641,96,0.05736096203327179
Adam,17,1,25,1,62,17,0.006498429683247,91,0.19970117509365082
Adamax,17,1,25,1,46,30,0.003828628873697,43,0.25561943650245667
AdamW,30,1,29,1,55,20,0.0072679153686771,109,0.31271883845329285
Adadelta,18,2,31,1,49,18,0.0001215049674782,122,2.3038997650146484
Adagrad,20,1,27,1,55,22,0.0013746781407705,96,1.0839858055114746
SGD,23,2,16,1,57,18,0.0057148104066014,55,0.34154313802719116
Adagrad,19,2,24,1,33,21,0.0073275532511406,55,0.3299575746059418
AdamW,24,1,17,2,51,23,0.0032915546866714,37,0.06409139931201935
RMSprop,28,2,27,2,38,30,0.0024081064456572,34,0.039936378598213196
Adadelta,23,2,23,2,36,21,0.0053158567880497,36,1.1061410903930664
AdamW,26,1,30,1,49,29,0.004037990881766,91,0.2527751326560974
Adamax,24,1,27,1,42,27,0.0042634995888868,72,0.25830551981925964
RMSprop,16,2,29,2,36,27,0.0073272995128354,88,0.04587371274828911
Nadam,27,2,27,2,60,28,0.0071063726582586,56,0.03922456130385399
Adam,29,2,23,2,57,31,0.0015088415568217,72,0.03495677933096886
AdamW,20,1,17,2,39,18,0.0015131412504432,114,0.09360133111476898
Nadam,28,1,23,2,35,30,0.0092982118499732,42,0.08412867784500122
Adamax,18,2,19,1,35,28,0.0074105670930632,99,0.06253250688314438
RMSprop,16,2,23,1,49,16,0.0007590588430778,93,0.09137912094593048
Adadelta,23,1,25,2,35,26,0.0092246117957637,55,0.7371103763580322
RMSprop,17,1,20,2,38,23,0.0086520451738293,123,0.06799923628568649
Adagrad,25,1,25,2,55,18,0.0045417294894084,57,0.21237541735172272
RMSprop,29,2,17,1,63,28,0.0023721518073177,122,0.04417294263839722
SGD,27,1,18,2,55,26,0.0038327179515872,88,0.43235307931900024
AdamW,29,2,21,1,57,19,0.0030145358198651,84,0.04735885560512543
Adamax,16,1,22,2,43,18,0.0017606889201319,88,0.10418497025966644
AdamW,27,2,24,2,50,26,0.0029206494463991,102,0.033458709716796875
Adagrad,31,1,21,2,52,27,0.0047316711522815,45,0.23360151052474976
Adadelta,25,1,31,1,60,24,0.0039346752617569,36,1.5417371988296509
Adam,23,1,29,2,38,27,0.0006698536195051,122,0.08717849105596542
SGD,18,1,27,1,60,29,0.0055678452374077,117,0.5436909794807434
Nadam,21,2,29,2,35,29,0.0026356451777428,124,0.033549368381500244
Nadam,25,2,27,1,59,28,0.0059290716384274,32,0.05482892692089081
Adagrad,17,2,27,1,41,19,0.0042247635540859,119,0.45687445998191833
AdamW,24,2,29,1,60,28,0.004860270138152,48,0.044886499643325806
AdamW,29,1,24,1,33,30,0.0064935127164003,124,0.3399011790752411
RMSprop,31,2,31,2,37,17,0.0024556174286163,50,0.0327974371612072
Adam,29,2,28,2,51,19,0.0071098074068655,42,0.0511753186583519
Adamax,16,2,21,1,38,31,0.0099731405008894,64,0.05849716439843178
Nadam,19,2,25,1,35,28,0.0088574154443456,69,0.05899691581726074
AdamW,16,2,29,2,46,26,0.0001449008826945,105,0.14022745192050934
Adadelta,18,2,29,2,49,30,0.0066337944003303,65,0.8206827640533447
AdamW,26,1,30,2,47,24,0.0077976479031981,75,0.0668996050953865
SGD,18,2,19,1,57,18,0.0075087610213715,118,0.43576666712760925
RMSprop,28,2,27,2,35,28,0.0063814173075574,73,0.044524118304252625
Adagrad,29,2,29,2,59,18,0.0036707473994956,40,0.17107944190502167
SGD,21,2,20,1,59,31,0.0073382879030348,75,0.36053162813186646
SGD,31,2,16,1,52,16,0.0085433525873988,83,0.38432106375694275
RMSprop,27,1,28,1,51,28,0.008300166694413,83,0.3350715637207031
AdamW,26,1,30,2,32,24,0.0016877571482399,96,0.08147173374891281
Adadelta,31,1,23,1,60,23,0.0015864266206147,90,2.253933906555176
Adam,22,1,30,2,58,22,0.0037080836847501,42,0.05394064262509346
Adamax,28,2,18,2,51,23,0.0040572871188568,33,0.033920224756002426
Nadam,19,1,28,1,38,16,0.007077734332043,36,0.22189123928546906
SGD,30,2,17,2,49,16,0.004166377998025,73,0.28152307868003845
Adadelta,17,2,17,2,47,18,0.0005620754479021,75,2.2693798542022705
Nadam,23,1,29,2,35,23,0.0030061301420662,91,0.06444434821605682
RMSprop,25,1,21,2,46,28,0.0016461061693392,63,0.07038408517837524
Adagrad,16,2,18,2,43,30,0.0070604606411374,126,0.1828235536813736
SGD,20,2,30,2,42,26,0.0056015910998867,73,0.23269499838352203
Adamax,20,2,20,2,54,23,0.0034902585357714,120,0.04671933129429817
Adamax,21,2,19,2,54,31,0.0056444968789444,69,0.03656802698969841
RMSprop,20,2,31,2,49,31,0.0082512537904052,111,0.042349155992269516
SGD,29,1,18,2,33,31,0.0081487320502792,82,0.30420735478401184
Adamax,28,1,27,1,63,29,0.0013781494075953,69,0.28094911575317383
Adam,23,2,22,2,34,27,0.0040429093254483,120,0.04218614846467972
Nadam,19,2,22,1,34,20,0.0054949895471647,119,0.049436505883932114
RMSprop,17,2,25,1,50,17,0.0051749136041721,109,0.04630906507372856
Adamax,27,2,28,2,58,18,0.0070803927038349,87,0.02740047127008438
Adamax,30,2,17,1,59,27,0.0007436266864928,91,0.15564695000648499
SGD,26,2,25,2,39,16,0.0082871026902794,80,0.23846925795078278
Nadam,30,2,31,2,59,16,0.0099033768108619,91,0.03928310424089432
RMSprop,27,2,27,1,55,21,0.0007217825832715,95,0.08508114516735077
SGD,16,1,30,1,40,21,0.0063295546553464,70,0.5046454668045044
SGD,20,1,19,1,37,25,0.0029060911493484,121,0.8404636979103088
Adagrad,22,2,17,2,44,18,0.0018087743297066,84,0.47430604696273804
Adam,31,1,19,1,36,22,0.0022060142742116,64,0.2272125780582428
