Name,Convoluted_Layers1,Convoluted_Filters1,Convoluted_Layers2,Convoluted_Filters2,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
RMSprop,17,1,18,2,49,25,0.0067999462305098,102,0.06415318697690964
RMSprop,31,2,22,2,54,26,0.0043932328545131,91,0.03081909753382206
Adagrad,31,1,28,2,49,21,0.0034066448480349,90,0.34960025548934937
SGD,17,1,31,1,32,23,0.0056062949065966,42,0.4610457122325897
Adagrad,31,1,26,1,53,18,0.0007798731306122,121,2.1699836254119873
SGD,26,2,23,2,35,27,0.0074839128711241,95,0.2864093482494354
Adamax,18,1,23,1,63,19,0.0020919769409646,114,0.29764696955680847
Adagrad,21,2,31,2,43,18,0.0046181105532105,113,0.2860560417175293
Adamax,16,2,27,1,49,23,0.0028342702588319,78,0.06954310089349747
Adagrad,27,1,25,1,36,26,0.0020197954515819,121,0.7536041736602783
SGD,17,2,24,2,39,27,0.0006714536121199,78,1.8016518354415894
AdamW,18,2,22,1,47,25,0.0058796077883164,110,0.046174149960279465
Nadam,21,2,18,2,50,20,0.0016763408989369,44,0.03342666104435921
AdamW,22,2,23,2,33,31,0.0014274087855929,41,0.03667150065302849
AdamW,19,1,25,1,51,16,0.0082949667005886,93,0.31074273586273193
RMSprop,30,2,26,1,41,23,0.0020919585628637,33,0.04515000805258751
AdamW,27,1,24,1,40,23,0.0088056906546149,126,0.3339480757713318
RMSprop,22,2,20,1,32,19,0.0019048435994226,127,0.07499674707651138
RMSprop,26,1,17,2,52,21,0.009953248685955,123,0.07784904539585114
AdamW,30,2,20,2,52,29,0.0019532894111087,91,0.03734062984585762
Adagrad,21,2,25,1,59,28,0.0027979163216978,99,0.4576496481895447
Adamax,25,2,26,2,42,24,0.0083976926153715,78,0.040504779666662216
AdamW,25,1,22,2,44,21,0.0031592387267083,42,0.06414537131786346
SGD,27,2,22,2,41,16,0.0058853380647506,110,0.3492790758609772
RMSprop,25,2,28,2,55,20,0.0022482452259817,98,0.029161633923649788
Adadelta,29,2,23,2,34,19,0.0043565388274022,92,1.9158220291137695
AdamW,22,2,28,2,34,27,0.0054786303310023,46,0.04406789690256119
RMSprop,22,2,31,1,63,28,0.0043736695363954,37,0.056218549609184265
SGD,19,1,26,2,41,17,0.0005933380634287,105,2.224500894546509
SGD,23,1,29,2,41,21,0.0046895666538721,91,0.36504384875297546
Adagrad,16,2,20,2,49,21,0.0002643030438055,112,2.2099335193634033
Adadelta,22,2,24,1,51,18,0.0082755698476331,111,1.3722337484359741
RMSprop,29,1,22,1,61,30,0.002616781346064,112,0.19572822749614716
Nadam,24,1,26,2,35,22,0.0072627017856548,88,0.06423947960138321
Adamax,23,1,17,1,45,23,0.0007585004471381,123,0.3921208679676056
