Name,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
RMSprop,36,28,0.0081658353564334,76,0.11195366084575653
Adamax,53,27,0.0097828956080335,79,0.07958976179361343
Adagrad,54,21,0.0041056058265283,106,0.457790732383728
SGD,32,18,0.009472434341205,91,0.47887295484542847
Adadelta,46,21,0.0031122489516662,77,2.088836669921875
Adadelta,45,17,0.0030349812403442,45,1.9992605447769165
Adam,49,23,0.0005896270139042,97,0.14913158118724823
RMSprop,57,16,0.0013088722136393,77,0.10232745856046677
Adadelta,53,22,0.0013567424409622,98,2.1953909397125244
Nadam,42,22,0.0074243434120503,67,0.08420203626155853
Adadelta,59,27,0.0002024939306996,83,2.287388324737549
AdamW,37,30,0.0077155374089604,127,0.08570411801338196
Adam,46,29,0.0012059810196424,41,0.08709587901830673
Adam,36,31,0.0037226440079452,84,0.08327297121286392
Adagrad,47,31,0.0094259545354226,67,0.2842486798763275
Adam,50,19,0.0007977929816817,68,0.11585123091936111
Adam,44,21,0.0038614875303465,63,0.07440175861120224
Adam,45,25,0.0049031118958287,100,0.07479659467935562
Adamax,41,18,0.001408585301258,61,0.1957242488861084
Adamax,62,19,0.0037095343191348,43,0.09133997559547424
Nadam,34,31,0.0082270139042154,37,0.10492611676454544
Adadelta,42,27,0.0016777311851688,35,2.0776052474975586
Adamax,35,28,0.0030830500993158,101,0.15599198639392853
Adagrad,62,17,0.0029698300595894,44,0.4497509002685547
Adagrad,60,30,0.001311851688369,125,1.2987819910049438
Adam,55,27,0.0022680644449348,71,0.07022066414356232
Adadelta,57,17,0.0091286029574045,33,0.9549760818481445
AdamW,52,26,0.0090265062900022,114,0.08253046125173569
Nadam,37,16,0.0024291547119841,34,0.08448726683855057
Adam,45,26,0.0091005958949459,100,0.09073739498853683
AdamW,45,17,0.0023495034208783,120,0.09246896952390671
RMSprop,52,31,0.0062714853233281,66,0.08764011412858963
Adadelta,43,17,0.0098307658353564,66,1.2954827547073364
Nadam,38,20,0.002142330611344,67,0.09689163416624069
Adagrad,34,18,0.0059487088942838,121,0.46633288264274597
RMSprop,54,19,0.0053329507834915,100,0.07724417001008987
Adadelta,32,23,0.0019027808430809,50,2.142043113708496
Adam,59,23,0.0078551754579563,39,0.08991976082324982
Adadelta,44,26,0.0007473405429265,56,2.2435665130615234
Adamax,42,29,0.0098130876186272,93,0.0930449590086937
Adadelta,63,17,0.0058412491723681,55,1.6358277797698975
Adam,49,23,0.0011821452218053,104,0.12236400693655014
Adagrad,36,30,0.0061082101081438,87,0.3613727390766144
Adam,38,19,0.0066212756565879,107,0.08646805584430695
AdamW,60,24,0.0058144338998013,119,0.06804456561803818
Adadelta,53,17,0.0007092032663871,122,2.268584966659546
Adadelta,46,28,0.0012909953652615,70,2.220015525817871
AdamW,39,22,0.0062055396159788,75,0.08644934743642807
SGD,60,22,0.0064502538071066,123,0.7649602890014648
AdamW,40,17,0.0078857647318472,43,0.1092652827501297
SGD,53,20,0.0062488413153829,47,0.3977407217025757
AdamW,63,30,0.0011167954094018,73,0.08754751831293106
Adagrad,54,27,0.0081469653498124,66,0.3017418384552002
Adamax,52,16,0.0091139042154049,124,0.09407247602939606
Adagrad,44,25,0.0029507614213197,90,0.558845579624176
Adam,44,24,0.0064291988523504,98,0.07546653598546982
Adamax,32,20,0.0039341867137497,63,0.13929814100265503
RMSprop,63,31,0.0005898256455528,78,0.13224898278713226
RMSprop,59,20,0.0062252041491944,66,0.07866235077381134
RMSprop,39,28,0.0055695210770249,88,0.09036359190940857
Nadam,37,22,0.007307746634297,49,0.10007929801940918
AdamW,40,18,0.003950673140587,61,0.08559343963861465
SGD,33,20,0.0049948797175016,118,0.9268408417701721
RMSprop,32,28,0.0017381152063562,64,0.109569251537323
AdamW,32,26,0.0093369675568307,106,0.11482618004083633
Nadam,33,29,0.0063948355771352,119,0.08910676091909409
Nadam,45,19,0.0011253365702935,115,0.13106749951839447
