Name,Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
Adagrad,18,3,41,30,0.004349357070046998,88,0.18789543211460114
RMSprop,21,2,42,17,0.00783382773292082,47,0.06701089441776276
RMSprop,17,1,34,24,0.004285119838774927,64,0.32465845346450806
Adam,18,3,45,17,0.007450447472198504,112,0.0376197025179863
Ftrl,22,3,64,20,0.005761959290876964,115,2.301236152648926
Adadelta,32,3,61,25,0.0011794084018080914,96,2.2197864055633545
Adagrad,22,1,58,20,0.0005940372632372056,33,1.5293081998825073
Adam,29,2,41,25,0.005118525031503949,44,0.03795573487877846
Adadelta,20,1,51,31,0.00984595310767692,81,1.2978708744049072
Adafactor,18,3,41,31,0.008683804201591433,78,nan
RMSprop,20,3,56,16,0.008643977620255268,113,0.04266443848609924
SGD,22,2,45,17,0.00999561587523958,87,0.21689961850643158
Adafactor,28,3,61,27,0.003876691057827856,53,nan
Adafactor,16,3,53,25,0.002535806018039442,96,nan
Ftrl,29,2,55,31,0.00931302022275108,114,2.3011906147003174
Adadelta,28,2,64,28,0.005713978140698178,118,1.0460084676742554
Adam,24,2,40,26,0.002476602646879727,86,0.032941173762083054
SGD,31,2,38,24,0.009047712639708001,55,0.14187249541282654
Adafactor,27,2,54,16,0.004090541233819952,71,nan
Adagrad,20,3,53,19,0.0008659858071622519,86,1.0501521825790405
SGD,24,1,60,31,0.0016757262981240098,40,0.6192663311958313
RMSprop,16,1,43,24,0.002233822756627556,87,0.25983139872550964
Nadam,25,1,60,30,0.0050012768170383,126,0.16881470382213593
RMSprop,28,1,36,31,0.004943390188498616,62,0.26743149757385254
Adamax,31,1,42,26,0.00235095134228578,127,0.3037484884262085
SGD,27,2,36,25,0.0006915095248448673,118,2.1864607334136963
RMSprop,28,2,35,29,0.004722264996371378,114,0.035242870450019836
SGD,17,1,64,17,0.0035123910530542157,85,0.6302629709243774
Nadam,16,2,57,29,0.005462763862607508,43,0.0404759906232357
SGD,25,1,64,24,0.003629292187505026,89,0.5824495553970337
Ftrl,29,3,63,21,0.00037427761319918035,116,2.30232834815979
Ftrl,20,3,33,32,0.0017281383781937464,98,2.3017075061798096
Ftrl,17,1,41,20,0.00047530093444926493,41,2.3022208213806152
Adam,24,1,41,32,0.009649745374709638,100,0.22708342969417572
