Name,Convoluted_Layers,Convoluted_Filters,Hidden_Layer1,Hidden_Layer2,Learning_Rate,Batch_Size,Loss
AdamW,30,3,36,22,0.0009115500329391165,72,0.04135555773973465
Ftrl,21,2,41,30,0.005748523110063617,69,2.301220417022705
RMSprop,26,2,45,24,0.002473910866116572,122,0.03268217295408249
RMSprop,29,1,47,31,0.00460770299565107,127,0.32071757316589355
Adamax,21,3,64,28,0.0037589926584861515,50,0.032992444932460785
Adafactor,19,1,44,21,0.008067903145736278,83,nan
Nadam,18,1,50,26,0.006917298414712879,118,0.3207622766494751
RMSprop,22,3,33,21,0.0023913407695344757,35,0.034876760095357895
Adagrad,27,2,52,21,0.002623116951095728,59,0.2886408269405365
Adamax,27,3,63,19,0.009901977492910646,71,0.02214798331260681
Adamax,32,1,57,32,0.00033687579176425067,92,0.41295185685157776
RMSprop,21,2,49,25,0.0005887015094538001,121,0.07126341015100479
Adamax,32,3,64,20,0.0035527366286185317,115,0.035402968525886536
SGD,29,3,64,28,0.0022182583291702816,112,0.42889508605003357
AdamW,23,1,41,27,0.001738157748892846,57,0.26424017548561096
Adamax,21,3,60,32,0.000693108932772744,61,0.06997715681791306
Ftrl,16,3,51,16,0.008572592034058572,43,2.3011910915374756
Adamax,25,1,49,16,0.002090382312898213,110,0.31762126088142395
Adamax,23,1,49,25,0.003773803936480904,122,0.27051854133605957
Adamax,16,3,43,20,0.007700906417670549,83,0.04165300354361534
SGD,28,1,47,30,0.00965838157836176,45,0.4082134962081909
Adafactor,17,2,48,20,0.005661687392534889,88,nan
Adadelta,25,1,42,30,0.004206921437262139,35,1.8611968755722046
Nadam,19,1,46,32,0.008669341220129842,110,0.2876797616481781
SGD,22,2,44,23,0.002099265285860264,97,0.5312034487724304
SGD,30,1,38,20,0.00790472748349006,80,0.48777297139167786
Adagrad,24,1,64,27,0.005235429969287286,42,0.42064693570137024
Adagrad,23,2,59,29,0.0008002880666999199,45,0.5474171042442322
Adamax,17,2,32,20,0.009904537287740186,72,0.040895286947488785
Adadelta,26,3,60,19,0.00012161430171155906,45,2.284543514251709
Adafactor,27,2,36,31,0.0035552002265379634,127,nan
RMSprop,26,2,40,28,0.00022412903262758227,111,0.10674459487199783
Adam,22,2,42,16,0.0016743621157735192,69,0.040654465556144714
AdamW,18,2,52,32,0.0052859651063299025,61,0.04123370349407196
Adadelta,27,2,51,24,0.00929438413494411,103,0.6493261456489563
Adadelta,31,2,38,30,0.0014765944766366966,62,2.2374157905578613
AdamW,17,2,48,26,0.003915724286840577,96,0.03755434975028038
Adafactor,21,1,46,22,0.0031587348216649018,65,nan
Adam,21,2,62,32,0.008955836770340954,38,0.055084578692913055
Nadam,25,1,59,27,0.004481395302734899,86,0.17404283583164215
Adam,16,2,50,19,0.008542438973776408,111,0.04692971333861351
Adamax,23,3,47,18,0.0099451578179299,47,0.024746496230363846
Adadelta,18,2,37,17,0.0006414669421326639,105,2.28279709815979
Nadam,24,3,37,21,0.003433118446523506,117,0.028084706515073776
Adafactor,24,3,53,28,0.0012083174401148304,99,nan
Adam,21,1,35,30,0.003986074664633791,42,0.2565946578979492
SGD,23,3,36,31,0.001844601631618551,34,0.21760553121566772
Adamax,25,2,53,19,0.008040548401151341,66,0.03567860648036003
Nadam,27,2,39,27,0.0006748743975750376,93,0.058883100748062134
Adadelta,23,2,49,25,0.007088780995548777,80,0.93271404504776
Adagrad,25,3,55,27,0.0007866722579791333,79,0.5484212636947632
Adamax,16,2,41,27,0.004174114945438103,49,0.048841703683137894
RMSprop,19,2,39,30,0.00984970340455955,81,0.06501264870166779
AdamW,29,3,58,19,0.008420041043607251,91,0.03687914088368416
Adagrad,20,3,44,29,0.00409192632220741,40,0.16862022876739502
AdamW,29,2,57,31,0.000550731895861825,63,0.04518696293234825
Ftrl,18,2,42,28,0.004129409456722451,117,2.301328420639038
Adadelta,27,2,45,24,0.007552864663618296,95,0.9575040936470032
AdamW,24,3,43,31,0.004907527968502267,32,0.044623374938964844
Ftrl,19,1,63,27,0.009876605094452989,56,2.30118727684021
Adam,16,2,44,26,0.0044596446771201816,45,0.04235653579235077
Adam,25,1,41,27,0.0074501988355784796,92,0.2573081851005554
AdamW,18,1,52,19,0.008915228768714898,81,0.32166382670402527
RMSprop,16,3,57,31,0.0019181952325079356,116,0.03179652988910675
Adagrad,31,2,48,29,0.009184221751359242,48,0.08784821629524231
AdamW,31,3,38,26,0.008027563988473672,76,0.041136905550956726
RMSprop,22,3,33,25,0.002007900870628702,38,0.031491268426179886
Adamax,29,2,48,24,0.004350558378470533,121,0.049414217472076416
Adam,23,3,49,21,0.005076684421484116,57,0.035810843110084534
Adamax,17,2,41,20,0.0016481148309086908,51,0.06526939570903778
Adamax,17,2,57,26,0.0021463554718527907,59,0.052361808717250824
Adam,18,1,45,24,0.0007995704240142677,102,0.300673246383667
Adam,17,1,43,17,0.006270054825480046,70,0.2220810204744339
Adam,16,2,35,31,0.0004536849201465244,63,0.07105924189090729
Adagrad,29,2,46,30,0.009261621563056188,102,0.14950494468212128
Ftrl,22,1,49,32,0.0008451273379530438,53,2.3020095825195312
AdamW,19,2,40,24,0.005370731443768883,109,0.04032827541232109
Adam,31,3,46,28,0.008042409656293862,127,0.03360450267791748
Adafactor,30,3,51,17,0.0014699302563188832,89,nan
Nadam,16,1,35,21,0.003178418110611134,111,0.21093766391277313
Adafactor,31,3,39,29,0.0051762992993110496,126,nan
Adagrad,30,1,54,32,0.007921877273784076,70,0.35733529925346375
Nadam,17,3,56,18,0.0036003106177881143,117,0.029225368052721024
Ftrl,16,2,33,28,0.006169846313848813,100,2.301222801208496
SGD,30,3,39,26,0.0002570505565284729,70,2.2057414054870605
Adagrad,19,1,46,25,0.007030632362627406,87,0.4535510838031769
SGD,23,1,43,21,0.006530205362105442,115,0.5801016092300415
Adagrad,30,2,47,32,0.004693212740559462,125,0.2474905401468277
Ftrl,19,2,45,27,0.00885609607626611,49,2.301189422607422
Adadelta,29,1,45,20,0.0037447468308704516,114,2.1492836475372314
Nadam,26,2,41,29,0.0058898408593447815,53,0.042642656713724136
RMSprop,24,2,57,18,0.0008269813307907899,41,0.03889039158821106
RMSprop,32,3,37,25,0.0028520632903543336,89,0.027239810675382614
Adafactor,30,1,38,24,0.0031092351682476455,38,nan
Nadam,18,3,46,23,0.003020421817006645,74,0.028578020632267
Adadelta,32,1,37,30,0.006896018704604785,99,1.2960858345031738
Adagrad,25,3,34,16,0.009869261662375423,73,0.10190480947494507
RMSprop,26,1,61,22,0.005445188276157723,53,0.31569889187812805
SGD,26,3,34,30,0.006245124637854009,107,0.21738576889038086
AdamW,28,3,41,27,0.004692986518620695,37,0.036783937364816666
Adagrad,17,3,39,31,0.00729973184074372,119,0.14700861275196075
Adamax,22,1,56,20,0.006400904730899592,68,0.2517941892147064
Ftrl,16,1,57,27,0.003935936285372805,44,2.3012967109680176
Ftrl,26,3,34,29,0.0038538357305493267,44,2.3012959957122803
Ftrl,19,3,51,16,0.009362747851957433,88,2.3011908531188965
Ftrl,24,3,39,30,0.0013948934298045018,106,2.3018319606781006
Adamax,30,1,64,24,0.008464465220704246,59,0.2005651295185089
Adam,17,2,34,17,0.0063136393055637915,121,0.045659247785806656
Adadelta,27,2,59,16,0.003938217598502615,83,1.9173353910446167
Adam,32,3,49,24,0.004607600187562697,48,0.030530229210853577
Adam,24,1,39,27,0.00031381547545397036,72,0.3347512483596802
RMSprop,30,2,33,27,0.002924470310533291,52,0.03472395986318588
SGD,18,1,54,31,0.002642995303962046,94,0.6985806226730347
Adagrad,17,2,52,24,0.0010291870274790498,106,0.8148066401481628
AdamW,32,1,35,31,0.0013688495235464047,107,0.23842811584472656
Adafactor,19,2,55,16,0.008601195961858127,79,nan
Adamax,31,1,63,17,0.005870258251013055,67,0.25586986541748047
Ftrl,31,3,41,20,0.004774530359306573,99,2.3012752532958984
Adafactor,21,1,49,26,0.00014200265872108816,44,nan
Adafactor,29,1,35,30,0.004319040505150707,55,nan
Adadelta,20,1,34,24,0.0053727438392518175,96,2.1130270957946777
Adadelta,22,2,54,30,0.0027630935939080142,62,1.9419891834259033
Ftrl,28,3,56,21,0.001735839961559422,72,2.30168080329895
AdamW,22,1,54,26,0.0003239839366482909,43,0.30152714252471924
Adagrad,21,3,43,16,0.004657823729233759,52,0.13683734834194183
RMSprop,19,1,54,17,0.00799246094852801,45,0.3393765091896057
Adagrad,21,1,52,17,0.0014031560316882274,69,0.9688302874565125
Adagrad,19,2,54,28,0.004082851149783878,105,0.26914381980895996
SGD,28,3,47,23,0.001897738653023147,85,0.3790227770805359
Adadelta,16,1,49,28,0.0030181983927156327,98,2.218625545501709
Adafactor,21,2,33,19,0.0018534098748300145,38,nan
SGD,24,3,54,24,0.008780045534333557,65,0.14071789383888245
RMSprop,28,2,58,17,0.002803279967091359,45,0.03017355315387249
AdamW,26,1,46,28,0.006610984246220368,49,0.21996307373046875
AdamW,22,3,52,23,0.002760912058088502,47,0.032590601593256
Adafactor,20,2,52,23,0.006174771539462516,66,nan
Adagrad,19,1,63,30,0.008946350011452442,110,0.39587917923927307
SGD,29,1,61,27,0.007600369375781812,83,0.46023860573768616
RMSprop,22,3,51,29,0.0038629789784568234,101,0.02750347927212715
Adadelta,32,3,61,25,0.00585067376382228,110,1.495622158050537
Adam,16,3,34,19,0.004781391894371489,98,0.04102414846420288
AdamW,25,1,36,17,0.00893748124494995,56,0.29426175355911255
Nadam,29,2,41,17,0.00012276815726965177,58,0.11411634087562561
RMSprop,23,1,39,31,0.0034224860051497966,78,0.2611120939254761
Nadam,16,2,55,29,0.0030118316899400174,76,0.03370368108153343
Adamax,20,1,44,17,0.008208020787030503,113,0.29910972714424133
Adagrad,32,3,47,24,0.008740323572908486,86,0.10062747448682785
Ftrl,21,1,63,17,0.007193970443770761,33,2.3011951446533203
Ftrl,26,3,34,23,0.007361167160423954,34,2.3011927604675293
Adagrad,26,2,58,18,0.0041200907641916725,83,0.26063212752342224
AdamW,16,3,57,21,0.009734510154579629,36,0.06602679193019867
Nadam,32,1,61,31,0.0013955591318886168,92,0.2357976883649826
AdamW,30,1,38,25,0.006130754131222182,46,0.27699312567710876
Ftrl,19,1,58,26,0.0023399083844562107,116,2.3015763759613037
Adam,21,3,37,22,0.006306735939000038,40,0.04972090572118759
RMSprop,30,3,33,20,0.005456421976165543,79,0.039910465478897095
Adam,32,3,57,17,0.0005294497341622826,75,0.04495203495025635
Ftrl,24,2,49,32,0.004361252348892694,92,2.3012921810150146
Adagrad,17,1,48,25,0.007466852068798277,97,0.4692005217075348
Nadam,30,1,43,21,0.0013698519179333056,48,0.2770968973636627
RMSprop,20,2,51,25,0.0015999441679256975,32,0.03547890856862068
Adafactor,20,2,47,28,0.004964932356987587,77,nan
RMSprop,30,3,39,30,0.0036377607417744343,127,0.02616092748939991
Adagrad,27,2,59,31,0.007389349803687515,115,0.17927972972393036
AdamW,31,2,52,20,0.003746303491402077,93,0.03171131759881973
RMSprop,22,1,42,20,0.0018290142769943128,76,0.2779309153556824
Adamax,26,1,50,18,0.007237263495907159,54,0.36171600222587585
SGD,30,2,64,30,0.00506936953757654,36,0.14012376964092255
AdamW,30,1,44,28,0.007598478084039943,62,0.2243131548166275
SGD,26,3,61,32,0.0037279130876975374,35,0.15455245971679688
Ftrl,32,3,36,20,0.0015523361362397995,115,2.301790475845337
SGD,17,1,44,32,0.0004404845093075358,82,2.286079168319702
Adafactor,20,3,34,17,0.0038789463802318216,77,nan
Nadam,21,2,46,19,0.009320107020242486,125,0.035010773688554764
Adagrad,22,3,36,22,0.007706179297953799,39,0.0965406745672226
Nadam,28,2,41,22,0.009845958297798841,55,0.05443713814020157
Adamax,16,3,39,31,0.00906411115411071,115,0.03694426268339157
Adafactor,27,2,59,17,0.003967741657709236,72,nan
Adam,18,2,36,32,0.009056322167808727,95,0.051045238971710205
AdamW,26,3,38,20,0.004259557119063415,67,0.032575834542512894
AdamW,29,3,48,31,0.006480417197142318,125,0.0328366681933403
Ftrl,17,1,64,20,0.0023157187190733096,99,2.3015618324279785
RMSprop,17,3,39,18,0.009513256025504664,53,0.08050871640443802
SGD,23,2,44,24,0.001984971846073051,74,0.4717983901500702
Nadam,16,2,62,31,0.0007112518870211474,87,0.05781468749046326
AdamW,29,2,54,21,0.0076787582138092446,101,0.037155020982027054
Adafactor,20,2,39,22,0.0013482343352606769,115,nan
Adadelta,31,2,45,20,0.0003061597700749121,100,2.2902684211730957
AdamW,31,3,37,20,0.009076023479476999,99,0.040076371282339096
AdamW,19,2,36,28,0.0005221916304652022,91,0.06908290833234787
Adagrad,26,2,60,28,0.004081386653742365,113,0.2775721251964569
Adam,21,1,53,28,0.00257542088731716,125,0.18069402873516083
Ftrl,21,3,51,30,0.006718709983913686,34,2.3011956214904785
Adamax,31,1,36,23,0.002168044759013378,106,0.31789591908454895
Nadam,18,3,38,29,0.007361728476235901,114,0.0325881652534008
Adam,27,1,42,24,0.0035083522818717197,34,0.2209707349538803
Adam,28,2,52,27,0.004183922952294975,39,0.033754367381334305
AdamW,23,2,43,23,0.004841859658404423,115,0.034673649817705154
Adafactor,21,2,38,23,0.005049768556328676,121,nan
Ftrl,27,2,46,20,0.00730498317664311,110,2.3012070655822754
Adadelta,32,2,60,23,0.007429726528206194,69,0.7982210516929626
Ftrl,30,1,39,25,0.006326946898536763,36,2.301201820373535
SGD,21,2,59,18,0.0020883260776499778,86,0.750379204750061
Ftrl,20,1,35,31,0.006634258376430987,122,2.301218032836914
Nadam,16,1,39,22,0.005330744161477239,87,0.3460167646408081
AdamW,26,2,37,26,0.005174023216293651,70,0.0428805872797966
Adadelta,19,2,60,17,0.007312587333078523,112,1.064459204673767
Adagrad,26,1,64,20,0.009771975885209488,67,0.3476996421813965
SGD,24,2,39,25,0.0004672401374901854,105,2.2620632648468018
Adagrad,18,2,63,28,0.008943928854709779,113,0.15569950640201569
Adamax,27,3,44,26,0.0031887580916822194,116,0.039297379553318024
Nadam,26,3,55,28,0.009696902774988365,119,0.03727056831121445
Adagrad,19,3,37,29,0.007926145766246794,98,0.1258060783147812
Ftrl,17,3,51,22,0.00015326885227299794,42,2.302455186843872
AdamW,27,2,47,21,0.0005097414890640887,62,0.054504793137311935
Adamax,16,1,39,20,0.003719495415976687,90,0.30666667222976685
RMSprop,31,1,57,28,0.007366477738214636,53,0.2407183051109314
SGD,17,3,60,16,0.005486209242007022,108,0.22702866792678833
Adagrad,23,1,40,16,0.007804190130251899,49,0.3675626218318939
Adam,19,1,42,25,0.005473658487610244,36,0.1958082616329193
Nadam,26,2,59,17,0.0027255049156465244,126,0.031020281836390495
Ftrl,18,3,33,25,0.005372805470123069,123,2.3012545108795166
AdamW,17,3,42,29,0.0012996406414430403,106,0.044640909880399704
Adam,25,3,45,28,0.0029896350922561043,128,0.02953636646270752
Adadelta,18,1,62,20,0.00182881900979185,102,2.271052837371826
AdamW,20,3,61,30,0.007556741090607268,79,0.041952844709157944
AdamW,25,2,46,19,0.009124474368013691,116,0.04094848409295082
SGD,26,3,61,18,0.00438760535708093,47,0.14469392597675323
SGD,31,1,44,18,0.0014784413560978331,105,2.0707690715789795
Adam,18,3,56,24,0.005046572743558484,73,0.033821772783994675
Nadam,16,1,60,17,0.006810471080819562,117,0.24011631309986115
SGD,18,3,52,28,0.006603450208361967,110,0.23912392556667328
Adamax,18,3,36,31,0.004597542126577053,127,0.04718989506363869
Adagrad,29,1,46,24,0.004128328324100408,45,0.46078652143478394
Adagrad,21,1,57,23,0.009195866900835072,41,0.34864577651023865
AdamW,24,1,59,32,0.00625015601957842,57,0.24424463510513306
Ftrl,19,1,60,19,0.0016460726325600108,71,2.3017048835754395
SGD,24,3,62,27,0.008447635678806369,107,0.18301814794540405
Adamax,18,3,59,23,0.0046641778684153295,94,0.03571104258298874
SGD,22,3,32,19,0.009792693484410397,71,0.1347394585609436
AdamW,31,1,64,21,0.009586798656146726,121,0.2509097754955292
Ftrl,25,2,60,27,0.0022686167996768094,41,2.301509380340576
RMSprop,22,2,51,30,0.007401888931300838,116,0.042512599378824234
Ftrl,19,2,43,32,0.005042219415243498,50,2.3012337684631348
Adam,28,2,58,20,0.00030210939627363733,48,0.060293324291706085
Ftrl,16,1,41,16,0.005815533269219962,66,2.3012218475341797
Adafactor,17,1,54,24,0.005110519861071526,55,nan
Nadam,18,3,51,23,0.008013565556214533,32,0.0630287155508995
Adadelta,20,1,55,24,0.002736639017997009,72,2.2110564708709717
Adafactor,20,1,50,23,0.006979645132742439,60,nan
Adamax,22,3,47,23,0.001420914571503071,42,0.05401580408215523
Nadam,23,2,39,18,0.007388518060949602,82,0.04399575665593147
RMSprop,22,2,44,28,0.005504836456954168,78,0.04071248695254326
Ftrl,22,3,46,20,0.00832480112803876,96,2.301196575164795
Adagrad,16,2,42,32,0.007574899072717349,90,0.1609221249818802
AdamW,21,2,53,27,0.002419237911579982,54,0.035174258053302765
Adagrad,27,2,37,16,0.001767221012957844,74,0.3912319540977478
SGD,24,3,43,18,0.004928822924231002,60,0.18620522320270538
Adadelta,17,2,53,17,0.004528022767492011,61,1.6868655681610107
Nadam,23,2,57,27,0.001898479809005545,63,0.034995075315237045
RMSprop,29,1,58,30,0.006478731691430029,60,0.30351629853248596
Adamax,24,2,43,28,0.003116853895348082,54,0.047471534460783005
Adagrad,26,1,49,23,0.00726859912826347,40,0.4185020327568054
Adagrad,24,3,56,19,0.006279648815184914,114,0.1512041836977005
Adamax,24,3,59,28,0.006619538627655344,96,0.030659545212984085
RMSprop,32,3,36,28,0.004772063644670878,45,0.04390916973352432
AdamW,24,3,55,27,0.0011286953221098911,98,0.03757491335272789
Adafactor,30,1,46,27,0.009178361351193052,123,nan
RMSprop,29,3,41,28,0.003130509795764183,98,0.02724851295351982
SGD,18,2,60,18,0.00875591480291234,46,0.1571713238954544
SGD,25,2,52,18,0.007708470529032896,32,0.127908855676651
SGD,19,1,51,18,0.009482093813949849,45,0.33718109130859375
AdamW,24,1,42,27,0.0075218189986224655,70,0.2585078775882721
Adafactor,20,3,55,30,0.001489012817210461,78,nan
Ftrl,31,1,61,26,0.007868074455944032,79,2.3011951446533203
Nadam,22,2,63,18,0.0036288003397200517,88,0.02644798718392849
Adagrad,30,3,52,18,0.0076359808198180135,63,0.11157677322626114
Nadam,25,1,36,32,0.0034256497235430152,76,0.19724775850772858
Adafactor,17,2,38,16,0.009428152036469899,90,nan
Adafactor,30,1,64,21,0.007170131600998458,102,nan
Ftrl,28,2,50,23,0.004217169004477107,93,2.3013010025024414
Nadam,29,3,40,22,0.0017217469013423572,52,0.029236815869808197
RMSprop,22,1,48,32,0.003521912221792697,47,0.2055882066488266
Ftrl,31,1,48,23,0.004707251166093944,105,2.3012757301330566
SGD,22,3,43,29,0.007438729828456022,61,0.1367649883031845
Adagrad,21,1,49,19,0.0024871444567456658,35,0.5181858539581299
Adamax,32,2,48,26,0.006058668605803125,48,0.03055526502430439
Adadelta,28,3,44,19,0.003548930245645614,96,1.8957154750823975
RMSprop,27,3,53,30,0.009614360709929024,121,0.052144262939691544
Adadelta,17,2,41,24,0.003683064519470751,104,2.0645742416381836
Adagrad,18,3,45,23,0.004496152772096161,42,0.13679657876491547
AdamW,20,1,53,30,0.004988284231991573,43,0.20010767877101898
Ftrl,30,2,35,30,0.001692333297499877,97,2.3017303943634033
AdamW,24,2,58,29,0.0004134955461193449,60,0.055359847843647
RMSprop,19,2,53,19,0.0010689469378216384,112,0.05347795784473419
Adamax,17,3,55,32,0.005685426715185571,127,0.036693863570690155
RMSprop,23,3,39,19,0.003038279903082463,37,0.03619231656193733
SGD,25,3,38,18,0.00041158629045812156,101,2.260725259780884
Nadam,21,2,38,31,0.0069811718092167244,61,0.045399487018585205
SGD,25,1,54,20,0.0004789923441804321,113,2.268253803253174
Nadam,18,3,38,17,0.001915277469765875,111,0.038467008620500565
SGD,22,1,51,21,0.007080196317389923,72,0.468614399433136
AdamW,23,3,60,32,0.005026037301391085,40,0.03619787469506264
RMSprop,25,2,34,22,0.008637507210217374,67,0.0628756582736969
AdamW,24,3,54,30,0.0014937439650322406,128,0.03679564967751503
Ftrl,20,2,51,30,0.00157859382139187,66,2.301738977432251
Adamax,31,2,43,17,0.0014090819139863041,60,0.06410780549049377
Adam,27,1,37,31,0.0042206639726357405,70,0.22327278554439545
Adamax,27,2,51,18,0.009357370128609405,60,0.030693188309669495
Adafactor,26,3,37,22,0.0013354557107933824,48,nan
Ftrl,29,1,49,21,0.0030016030243912766,38,2.301384449005127
Adamax,25,1,60,23,0.005780513219425862,68,0.25283485651016235
RMSprop,20,1,48,32,0.007979852159534668,61,0.22416576743125916
Ftrl,25,1,35,24,0.008870279319862555,52,2.3011879920959473
Adam,23,3,32,31,0.0006938165437362109,39,0.044122111052274704
Adagrad,24,2,44,23,0.0041159104002169685,109,0.2699907422065735
Adam,25,1,38,17,0.00408312490587817,103,0.2576844394207001
RMSprop,19,1,59,31,0.004930258929715909,72,0.306680828332901
RMSprop,30,3,40,22,0.0013259410961492803,36,0.028366174548864365
SGD,25,3,53,26,0.001301150432375533,83,0.639578640460968
RMSprop,21,1,33,20,0.007356946855555928,57,0.35729578137397766
AdamW,28,1,40,32,0.002741923469344055,107,0.2510444223880768
Adamax,16,2,38,27,0.00931939893321816,58,0.035206571221351624
Adafactor,18,1,62,32,0.009817002524110163,62,nan
Nadam,26,2,43,19,0.0008107888839019122,35,0.043364595621824265
AdamW,30,2,53,19,0.00027653256340220354,116,0.08770272135734558
Adamax,17,2,53,18,0.006470612550735035,35,0.03281551972031593
Adadelta,18,2,56,21,0.005478848504648168,66,1.3785182237625122
Adam,26,2,46,22,0.003544512252585736,33,0.03550978749990463
Adafactor,24,3,53,27,0.0041794546734489945,123,nan
Adamax,23,1,40,24,0.0001836152610373167,99,0.5661612749099731
Adam,32,1,33,23,0.0034103268091534456,74,0.24045471847057343
SGD,25,2,54,21,0.0029556331694801123,76,0.35846126079559326
Ftrl,27,3,46,31,0.0013369190871471309,96,2.30184006690979
Adam,22,1,34,20,0.008268610683605043,57,0.2911815345287323
AdamW,26,1,59,16,0.009962333153933167,103,0.24930988252162933
Adagrad,16,3,36,22,0.005368576258337244,65,0.17468297481536865
SGD,30,1,41,31,0.0009815661482072257,74,2.1812522411346436
Adagrad,19,3,38,21,0.0071717478927921605,47,0.11036200076341629
Adagrad,28,2,51,19,0.008242942255955114,84,0.1327534019947052
Nadam,16,2,36,17,0.005214295058569145,122,0.039205633103847504
Adadelta,31,1,32,21,0.0015409387589664478,124,2.2830119132995605
Adagrad,22,3,32,26,0.001898388504591974,39,0.22240421175956726
SGD,27,1,45,32,0.0021823124552196862,121,1.8286406993865967
AdamW,24,1,43,31,0.004856721832481313,109,0.25985994935035706
Adafactor,18,3,32,24,0.00487308103118369,111,nan
Ftrl,24,2,43,20,0.008821982525227931,101,2.301194429397583
Adafactor,22,2,39,25,0.00814465936170214,71,nan
Ftrl,30,3,40,28,0.004785117940500283,103,2.301272392272949
RMSprop,26,2,45,24,0.006714372513785059,48,0.059842538088560104
SGD,16,2,52,25,0.004752016122698141,46,0.25287309288978577
AdamW,23,3,43,26,0.007218489087401041,102,0.036775898188352585
Adadelta,21,3,42,28,0.005824839001115919,98,1.1579676866531372
Adamax,31,2,43,27,0.009931913079384383,62,0.030983733013272285
Adam,31,3,60,25,0.004299318924877364,94,0.02795429900288582
Adagrad,28,2,56,31,0.009852953962924625,57,0.09163898229598999
Adafactor,18,2,56,23,0.006073922943389717,39,nan
SGD,20,2,60,26,0.0025155945646328664,124,0.5333735942840576
Adafactor,18,2,48,20,0.005619232228048644,33,nan
Adafactor,28,2,41,23,0.007135724974328111,40,nan
Nadam,19,3,33,26,0.0007287482552698233,116,0.06269920617341995
Nadam,16,3,59,23,0.0011094231650686673,79,0.04210587963461876
RMSprop,21,3,33,29,0.009002909144411179,51,0.08723143488168716
SGD,18,2,58,31,0.005837007917546719,90,0.2759259343147278
Adadelta,19,3,35,18,0.0004382123408033577,63,2.291455030441284
RMSprop,16,3,51,29,0.0038290488061287825,103,0.029270479455590248
Adagrad,32,2,49,32,0.009744074912342755,101,0.14550314843654633
AdamW,25,1,43,32,0.004225791730678843,71,0.24377617239952087
Adafactor,23,1,49,28,0.006129183267197756,114,nan
Nadam,19,2,54,25,0.008820103744039005,106,0.03944891691207886
Adam,24,1,45,25,0.005063452988731887,111,0.19973182678222656
RMSprop,26,3,61,25,0.00887935559185439,107,0.04467444121837616
Ftrl,29,1,49,21,0.007423052234183091,90,2.3011999130249023
Ftrl,17,2,59,26,0.0040933258386194335,108,2.301325798034668
AdamW,20,3,57,19,0.0032034484713313583,83,0.029905593022704124
Adadelta,31,3,59,17,0.0008481527140509337,46,2.230573892593384
AdamW,27,1,62,32,0.007032186536762176,119,0.23743918538093567
Adam,27,3,62,21,0.003535825391012985,58,0.027523323893547058
RMSprop,30,2,56,20,0.0022129516161802534,96,0.02659846656024456
Adagrad,18,2,40,28,0.005282818884361428,40,0.17756500840187073
AdamW,22,3,36,27,0.0012374723309151747,54,0.03359692171216011
Ftrl,31,3,46,16,0.0008256540351831754,65,2.302037477493286
Nadam,16,1,32,16,0.0077042543529924935,99,0.34375277161598206
SGD,24,2,45,31,0.008439115477790148,76,0.2059786021709442
AdamW,26,3,42,32,0.00252812409410667,33,0.027477405965328217
Adafactor,27,1,64,25,0.00352440484609148,101,nan
Nadam,22,3,32,21,0.0033383725117408073,53,0.03271821141242981
AdamW,19,1,60,24,0.009366245921677403,95,0.21083219349384308
AdamW,17,3,56,22,0.005746708696962854,104,0.03228828310966492
Adamax,31,3,60,28,0.004057298414963494,44,0.024216728284955025
Ftrl,20,1,49,29,0.0028946405379925095,87,2.3014333248138428
AdamW,26,2,49,24,0.003182436096497985,34,0.03426171839237213
Ftrl,17,3,41,23,0.0011340782384260068,109,2.301954984664917
Ftrl,25,1,43,28,0.004761510867143045,104,2.301276206970215
Adamax,32,2,42,20,0.008607195022473535,99,0.03564950451254845
AdamW,26,1,49,25,0.00735445441865438,60,0.2169012576341629
AdamW,26,3,62,21,0.003607611957000793,82,0.02583824284374714
Adamax,26,1,53,27,0.0033708950776319374,124,0.2826404869556427
Nadam,18,1,45,30,0.005660884782236077,79,0.2961389422416687
Adagrad,23,2,32,16,0.0010475419957760455,66,0.8636821508407593
Ftrl,19,3,46,17,0.006285894765125255,99,2.301224946975708
Ftrl,31,2,45,16,0.008643397267365792,92,2.3011932373046875
Nadam,28,3,41,17,0.0001559610850451753,88,0.09807784855365753
Nadam,22,3,47,21,0.00522450196751344,35,0.03790660575032234
Adam,32,3,48,31,0.004652321682375,87,0.03206266835331917
Adagrad,26,3,37,27,0.006525377926433625,78,0.12096632272005081
Adagrad,31,3,59,30,0.008455244521568218,44,0.06605998426675797
Adafactor,18,1,38,26,0.007090234314573329,72,nan
Adagrad,19,3,49,20,0.0003557100386589778,128,2.2107744216918945
Adagrad,30,3,34,16,0.00960897406535643,87,0.11350139230489731
AdamW,23,1,49,21,0.004365101643090119,85,0.1998361051082611
SGD,26,1,59,19,0.00991172987735266,83,0.4257802367210388
Adamax,22,1,63,29,0.00033631063238435136,37,0.37342923879623413
SGD,32,1,33,19,0.0008962003968496354,87,2.256685733795166
Ftrl,26,1,47,23,0.00764678078121596,99,2.301201343536377
Adagrad,19,3,54,31,0.009118337927549233,77,0.10485576093196869
Adamax,26,1,36,28,0.008150647387006243,79,0.23105716705322266
Adam,21,2,33,31,0.008057902398365985,71,0.048561301082372665
Adafactor,28,2,56,16,0.007000226154309969,73,nan
Adagrad,30,2,57,17,0.005247819243163227,41,0.12882256507873535
Ftrl,26,3,54,22,0.005460771838048716,108,2.301243782043457
RMSprop,26,1,53,20,0.005821162192451107,88,0.3263556659221649
